2025-02-22 06:42:11,153 - INFO - Combined 15 files into DataFrame with 185124 rows
2025-02-22 06:42:11,180 - INFO - Loaded progress from scraper_progress.json: 29 URLs scraped
2025-02-22 15:30:31,992 - INFO - Progress saved: 2260 URLs scraped, 5824 players found
2025-02-22 15:31:27,753 - INFO - Progress saved: 2270 URLs scraped, 5853 players found
2025-02-22 15:32:19,087 - INFO - Progress saved: 2280 URLs scraped, 5884 players found
2025-02-22 15:33:04,168 - INFO - Progress saved: 2290 URLs scraped, 5907 players found
2025-02-22 15:33:49,789 - INFO - Progress saved: 2300 URLs scraped, 5927 players found
2025-02-22 15:34:36,821 - INFO - Progress saved: 2310 URLs scraped, 5946 players found
2025-02-22 15:35:24,537 - INFO - Progress saved: 2320 URLs scraped, 5969 players found
2025-02-22 15:36:22,583 - INFO - Progress saved: 2330 URLs scraped, 6002 players found
2025-02-22 15:37:07,010 - INFO - Progress saved: 2340 URLs scraped, 6021 players found
2025-02-22 15:38:02,095 - INFO - Progress saved: 2350 URLs scraped, 6054 players found
2025-02-22 15:38:50,084 - INFO - Progress saved: 2360 URLs scraped, 6073 players found
2025-02-22 15:39:46,843 - INFO - Progress saved: 2370 URLs scraped, 6100 players found
2025-02-22 15:40:37,769 - INFO - Progress saved: 2380 URLs scraped, 6134 players found
2025-02-22 15:41:28,912 - INFO - Progress saved: 2390 URLs scraped, 6157 players found
2025-02-22 15:42:27,550 - INFO - Progress saved: 2400 URLs scraped, 6188 players found
2025-02-22 15:43:10,456 - INFO - Progress saved: 2410 URLs scraped, 6212 players found
2025-02-22 15:43:54,190 - INFO - Progress saved: 2420 URLs scraped, 6234 players found
2025-02-22 15:44:37,450 - INFO - Progress saved: 2430 URLs scraped, 6263 players found
2025-02-22 15:45:21,173 - INFO - Progress saved: 2440 URLs scraped, 6282 players found
2025-02-22 15:46:10,441 - INFO - Progress saved: 2450 URLs scraped, 6314 players found
2025-02-22 15:46:55,754 - INFO - Progress saved: 2460 URLs scraped, 6338 players found
2025-02-22 15:47:43,644 - INFO - Progress saved: 2470 URLs scraped, 6360 players found
2025-02-22 15:48:29,878 - INFO - Progress saved: 2480 URLs scraped, 6386 players found
2025-02-22 15:49:17,599 - INFO - Progress saved: 2490 URLs scraped, 6410 players found
2025-02-22 15:50:02,040 - INFO - Progress saved: 2500 URLs scraped, 6440 players found
2025-02-22 15:50:52,896 - INFO - Progress saved: 2510 URLs scraped, 6469 players found
2025-02-22 15:51:39,534 - INFO - Progress saved: 2520 URLs scraped, 6498 players found
2025-02-22 15:52:28,217 - INFO - Progress saved: 2530 URLs scraped, 6519 players found
2025-02-22 15:53:12,398 - INFO - Progress saved: 2540 URLs scraped, 6542 players found
2025-02-22 15:54:07,932 - INFO - Progress saved: 2550 URLs scraped, 6564 players found
2025-02-22 15:54:55,869 - INFO - Progress saved: 2560 URLs scraped, 6592 players found
2025-02-22 15:55:45,323 - INFO - Progress saved: 2570 URLs scraped, 6621 players found
2025-02-22 15:56:35,086 - INFO - Progress saved: 2580 URLs scraped, 6646 players found
2025-02-22 15:57:22,263 - INFO - Progress saved: 2590 URLs scraped, 6680 players found
2025-02-22 15:58:10,636 - INFO - Progress saved: 2600 URLs scraped, 6709 players found
2025-02-22 15:59:00,609 - INFO - Progress saved: 2610 URLs scraped, 6735 players found
2025-02-22 15:59:50,235 - INFO - Progress saved: 2620 URLs scraped, 6753 players found
2025-02-22 16:00:35,886 - INFO - Progress saved: 2630 URLs scraped, 6775 players found
2025-02-22 16:01:31,439 - INFO - Progress saved: 2640 URLs scraped, 6798 players found
2025-02-22 16:02:14,473 - INFO - Progress saved: 2650 URLs scraped, 6823 players found
2025-02-22 16:03:01,798 - INFO - Progress saved: 2660 URLs scraped, 6845 players found
2025-02-22 16:03:59,304 - INFO - Progress saved: 2670 URLs scraped, 6874 players found
2025-02-22 16:04:53,215 - INFO - Progress saved: 2680 URLs scraped, 6896 players found
2025-02-22 16:05:44,484 - INFO - Progress saved: 2690 URLs scraped, 6924 players found
2025-02-22 16:06:38,034 - INFO - Progress saved: 2700 URLs scraped, 6953 players found
2025-02-22 16:07:24,572 - INFO - Progress saved: 2710 URLs scraped, 6981 players found
2025-02-22 16:08:08,310 - INFO - Progress saved: 2720 URLs scraped, 7016 players found
2025-02-22 16:08:55,681 - INFO - Progress saved: 2730 URLs scraped, 7034 players found
2025-02-22 16:09:45,242 - INFO - Progress saved: 2740 URLs scraped, 7060 players found
2025-02-22 16:10:36,282 - INFO - Progress saved: 2750 URLs scraped, 7090 players found
2025-02-22 16:11:24,537 - INFO - Progress saved: 2760 URLs scraped, 7111 players found
2025-02-22 16:12:13,960 - INFO - Progress saved: 2770 URLs scraped, 7149 players found
2025-02-22 16:12:59,788 - INFO - Progress saved: 2780 URLs scraped, 7186 players found
2025-02-22 16:13:48,661 - INFO - Progress saved: 2790 URLs scraped, 7211 players found
2025-02-22 16:14:35,852 - INFO - Progress saved: 2800 URLs scraped, 7244 players found
2025-02-22 16:15:26,864 - INFO - Progress saved: 2810 URLs scraped, 7271 players found
2025-02-22 16:16:22,480 - INFO - Progress saved: 2820 URLs scraped, 7305 players found
2025-02-22 16:17:05,037 - INFO - Progress saved: 2830 URLs scraped, 7335 players found
2025-02-22 16:17:56,795 - INFO - Progress saved: 2840 URLs scraped, 7359 players found
2025-02-22 16:18:44,331 - INFO - Progress saved: 2850 URLs scraped, 7382 players found
2025-02-22 16:19:38,520 - INFO - Progress saved: 2860 URLs scraped, 7412 players found
2025-02-22 16:20:26,820 - INFO - Progress saved: 2870 URLs scraped, 7436 players found
2025-02-22 16:21:11,292 - INFO - Progress saved: 2880 URLs scraped, 7465 players found
2025-02-22 16:22:00,688 - INFO - Progress saved: 2890 URLs scraped, 7493 players found
2025-02-22 16:22:44,017 - INFO - Progress saved: 2900 URLs scraped, 7517 players found
2025-02-22 16:23:32,095 - INFO - Progress saved: 2910 URLs scraped, 7545 players found
2025-02-22 16:24:23,536 - INFO - Progress saved: 2920 URLs scraped, 7572 players found
2025-02-22 16:25:08,449 - INFO - Progress saved: 2930 URLs scraped, 7599 players found
2025-02-22 16:25:52,909 - INFO - Progress saved: 2940 URLs scraped, 7622 players found
2025-02-22 16:26:36,508 - INFO - Progress saved: 2950 URLs scraped, 7651 players found
2025-02-22 16:27:26,803 - INFO - Progress saved: 2960 URLs scraped, 7685 players found
2025-02-22 16:28:05,459 - INFO - Progress saved: 2970 URLs scraped, 7708 players found
2025-02-22 16:28:51,738 - INFO - Progress saved: 2980 URLs scraped, 7729 players found
2025-02-22 16:29:38,994 - INFO - Progress saved: 2990 URLs scraped, 7756 players found
2025-02-22 16:30:22,912 - INFO - Progress saved: 3000 URLs scraped, 7782 players found
2025-02-22 16:31:21,529 - INFO - Progress saved: 3010 URLs scraped, 7809 players found
2025-02-22 16:32:07,407 - INFO - Progress saved: 3020 URLs scraped, 7836 players found
2025-02-22 16:32:58,930 - INFO - Progress saved: 3030 URLs scraped, 7858 players found
2025-02-22 16:33:48,733 - INFO - Progress saved: 3040 URLs scraped, 7884 players found
2025-02-22 16:34:39,655 - INFO - Progress saved: 3050 URLs scraped, 7906 players found
2025-02-22 16:35:21,210 - INFO - Progress saved: 3060 URLs scraped, 7931 players found
2025-02-22 16:36:16,381 - INFO - Progress saved: 3070 URLs scraped, 7967 players found
2025-02-22 16:37:15,068 - INFO - Progress saved: 3080 URLs scraped, 7998 players found
2025-02-22 16:38:01,624 - INFO - Progress saved: 3090 URLs scraped, 8024 players found
2025-02-22 16:38:52,805 - INFO - Progress saved: 3100 URLs scraped, 8053 players found
2025-02-22 16:39:39,692 - INFO - Progress saved: 3110 URLs scraped, 8086 players found
2025-02-22 16:40:24,852 - INFO - Progress saved: 3120 URLs scraped, 8105 players found
2025-02-22 16:41:21,749 - INFO - Progress saved: 3130 URLs scraped, 8127 players found
2025-02-22 16:42:19,347 - INFO - Progress saved: 3140 URLs scraped, 8162 players found
