player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id,player_id
Hank Bennett,Sr.,P,2.0,1.0,27.0,5-10,RIGHT,RIGHT,"Richmond, TX",,https://stats.ncaa.org/players/7819167,548844.0,2023,Centenary (LA),835.0,SCAC,3.0,16340.0,125.0,d3-playerid-12829
Hank Bielen,Sr.,1B,37.0,36.0,44.0,-,,,,,https://stats.ncaa.org/players/7819749,548862.0,2023,Delaware Valley,28745.0,MAC Freedom,3.0,16340.0,179.0,d3-playerid-12830
Hank Friedrich,Fr.,OF,1.0,0.0,50.0,-,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8018275,548898.0,2023,Benedictine (IL),30097.0,NACC,3.0,16340.0,296.0,d3-playerid-12834
Hank Holman,Fr.,P,12.0,5.0,12.0,5-11,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8016768,548587.0,2023,Ohio Wesleyan,897.0,NCAC,3.0,16340.0,520.0,d3-playerid-12835
Hank Leighty,Fr.,C,2.0,0.0,36.0,-,,,,,https://stats.ncaa.org/players/8002092,548924.0,2023,Mary Washington,15810.0,C2C,3.0,16340.0,390.0,d3-playerid-12836
Hank Marriott,So.,P,2.0,0.0,25.0,-,,,,,https://stats.ncaa.org/players/7818674,548827.0,2023,Bowdoin,12817.0,NESCAC,3.0,16340.0,69.0,d3-playerid-12837
Hank Penders,So.,C,9.0,3.0,36.0,6-3,LEFT,RIGHT,"Wethersfield, CT",East Catholic,https://stats.ncaa.org/players/7995972,548868.0,2023,Eastern Conn. St.,867.0,Little East,3.0,16340.0,200.0,d3-playerid-12839
Hank Tobias,Jr.,P,11.0,0.0,33.0,6-1,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7819276,548847.0,2023,Chapman,910.0,SCIAC,3.0,16340.0,134.0,d3-playerid-12843
Hank Weiss,So.,P,10.0,1.0,11.0,6-0,,RIGHT,"Chagrin Falls, OH",Chagrin Falls,https://stats.ncaa.org/players/7813506,548657.0,2023,WashU,1471.0,UAA,3.0,16340.0,755.0,d3-playerid-12844
Hannoh Seo,Fr.,P,8.0,4.0,26.0,-,,,,,https://stats.ncaa.org/players/7996084,548597.0,2023,Pomona-Pitzer,910.0,SCIAC,3.0,16340.0,549.0,d3-playerid-12845
