Team,App,Conference,IP_float,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,Division,IP,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch
Calvin,6,Michigan Intercol. Ath. Assn.,17.0,21,9,0,0,0,0,13,12,0.5133055954655399,9,6,3,19,78,0,2025,3,17.0,6.352941176470588,0.0,6.88235294117647,10.058823529411764,11.117647058823529,3.1764705882352944,0.0,7.6923076923076925,24.358974358974358,16.666666666666664,0.0,4.264022083545486,4.715453749422424,101.25020119386691,101.48473569131546,Calvin,37.064,-0.11000000000000061,-0.46869184843433054,0.9282828282828282,0.3501934806432526
Capital,18,OAC,39.0,55,13,2,0,0,8,50,47,-0.10747990262349191,34,23,6,37,203,763,2025,3,39.0,10.846153846153847,0.0,11.53846153846154,8.538461538461538,12.692307692307693,5.3076923076923075,1.846153846153846,11.330049261083744,18.226600985221676,6.896551724137932,19.047619047619047,7.911080907074898,6.162711133388669,96.74118588931564,23.969087139962888,Capital,78.289,-1.7271999999999994,-1.48091010184061,1.002677376171352,-0.24167788213802766
Carroll (WI),25,CCIW,48.666666666666664,57,6,1,0,0,2,40,36,0.9494651404761549,24,20,9,47,227,245,2025,3,48.2,6.657534246575342,0.0,7.397260273972603,8.69178082191781,10.54109589041096,3.6986301369863015,0.36986301369863017,8.81057268722467,20.704845814977972,11.894273127753301,7.6923076923076925,5.301491865979008,5.222799620128794,106.5134389151536,101.86281641130992,Carroll (WI),60.448,-2.1965999999999997,-0.8110181607458308,0.6974358974358974,-2.3385186039600514
Carthage,11,CCIW,31.0,25,7,2,0,0,1,20,19,0.5919885792869553,26,16,6,35,139,405,2025,3,31.0,5.516129032258065,0.0,5.806451612903226,10.161290322580646,7.258064516129032,4.64516129032258,0.29032258064516125,11.510791366906476,25.179856115107913,13.669064748201437,3.7037037037037033,5.201403487720059,5.524726550936957,101.8016733231536,114.92458278442244,Carthage,76.999,0.3957999999999995,0.32361932295430407,0.5625992063492063,0.379901043824041
Catholic,13,Landmark,26.0,30,8,1,0,0,4,26,26,0.37537246210508796,26,14,7,24,131,475,2025,3,26.0,9.0,0.0,9.0,8.307692307692308,10.384615384615383,4.846153846153846,1.3846153846153846,10.687022900763358,18.3206106870229,7.633587786259541,13.333333333333334,7.4880039839979755,6.471893512191301,103.03746921236048,62.85754675872796,Catholic,55.354,-0.7084000000000005,-0.6500801232568089,0.595464135021097,-0.5395801070354861
Centenary (LA),41,SCAC,86.0,92,13,0,0,0,4,56,48,1.8547496604498734,75,44,19,71,402,1326,2025,3,86.0,5.023255813953488,0.0,5.86046511627907,7.430232558139535,9.627906976744185,4.604651162790698,0.41860465116279066,10.945273631840797,17.66169154228856,6.7164179104477615,5.063291139240507,6.062243697772573,6.2408906322334605,97.40539708843846,119.02949236647542,Centenary (LA),208.897,-0.48580000000000034,-0.8293020998898606,0.878295376121463,0.2761852177934472
Centenary (NJ),24,Atlantic East,42.0,55,15,5,9,3,1,40,33,0.6216975030715379,45,16,8,26,205,284,2025,3,42.0,7.071428571428571,33.33333333333333,8.571428571428571,5.571428571428571,11.785714285714286,3.4285714285714284,0.21428571428571427,7.804878048780488,12.682926829268293,4.878048780487806,2.1739130434782608,5.696795192789184,6.321185570344118,94.9145102450656,83.02336195731041,Centenary (NJ),91.418,-1.9474000000000002,-1.6113461396896054,0.8048280423280423,-0.8083011608281039
Centre,25,SAA,61.0,50,9,0,0,0,0,24,19,1.579663841816386,55,25,9,68,265,1027,2025,3,61.0,2.80327868852459,0.0,3.540983606557377,10.032786885245901,7.3770491803278695,3.6885245901639347,0.0,9.433962264150944,25.660377358490567,16.22641509433962,0.0,4.35370385789457,5.1225355657177705,100.21055806765912,156.0784778873374,Centre,166.869,0.9707999999999983,0.40025334743549495,1.1077847439916406,0.4760901888565376
Chapman,23,SCIAC,62.0,57,15,1,0,0,9,57,50,0.48496443056825944,46,45,14,74,298,812,2025,3,62.0,7.258064516129032,0.0,8.274193548387096,10.741935483870968,8.274193548387096,6.532258064516129,1.306451612903226,15.100671140939598,24.832214765100673,9.731543624161075,16.363636363636363,7.265919616752317,6.135254038965465,90.22643294430674,73.69759398094146,Chapman,127.611,-1.4416000000000002,-1.517194021543754,0.9808576480990273,0.04745985288643184
Chatham,13,PAC,26.0,30,7,1,0,0,2,23,19,0.21769367096182535,29,19,5,26,133,325,2025,3,26.0,6.576923076923077,0.0,7.961538461538462,9.0,10.384615384615383,6.576923076923077,0.6923076923076923,14.285714285714285,19.548872180451127,5.2631578947368425,6.451612903225806,6.680311676305667,6.696997522105438,93.04489196229244,89.01742063788917,Chatham,58.354,-0.9330000000000004,-0.9303538212669633,0.9081904761904762,-0.09696371229008416
Chris. Newport,39,C2C,71.0,70,17,2,13,6,3,57,49,0.5306571435546998,67,57,20,65,357,1435,2025,3,71.0,6.211267605633803,46.15384615384615,7.225352112676057,8.23943661971831,8.873239436619718,7.225352112676057,0.38028169014084506,15.966386554621847,18.207282913165265,2.2408963585434183,4.285714285714286,6.882911892990391,7.174310456986566,99.09703343478212,101.58887994377352,Chris. Newport,165.159,-1.1717999999999993,-1.3856523048596034,1.0245768947755702,0.2419606932537437
Claremont-M-S,28,SCIAC,55.0,58,7,2,3,3,2,34,30,1.1798286644804838,46,26,11,48,257,651,2025,3,55.0,4.909090909090909,100.0,5.5636363636363635,7.8545454545454545,9.49090909090909,4.254545454545455,0.32727272727272727,10.116731517509727,18.67704280155642,8.560311284046694,4.166666666666666,5.656535452529443,5.927986441126577,99.9184561289032,122.85994444769015,Claremont-M-S,119.321,-0.8852000000000004,-0.9805140012377445,0.7843949044585987,-0.14799919405255246
Clarkson,11,Liberty League,25.0,22,3,0,6,2,2,18,15,0.4294940278651567,28,11,10,16,111,0,2025,3,25.0,5.4,33.33333333333333,6.4799999999999995,5.76,7.92,3.96,0.72,9.90990990990991,14.414414414414415,4.504504504504505,6.666666666666667,7.191080907074898,7.174326016395957,106.68524011102691,120.5280245579467,Clarkson,57.096000000000004,-0.3851999999999998,-0.44454226798495494,1.1342995169082126,0.1049494230105088
Concordia (TX),39,SCAC,84.0,94,18,3,0,0,9,61,56,1.620086895397716,83,43,7,82,393,1377,2025,3,84.0,6.0,0.0,6.535714285714286,8.785714285714285,10.071428571428571,4.607142857142857,0.9642857142857142,10.941475826972011,20.865139949109416,9.923664122137405,9.782608695652174,6.137271383265374,5.678328427486975,93.0584107535626,98.76744302044598,Concordia (TX),187.184,-1.0178000000000007,-0.9922412685665704,0.9034779614325069,-0.13429423473030122
Concordia Chicago,12,NACC,26.0,27,2,0,3,3,4,17,14,0.09162291113214702,25,13,5,23,120,311,2025,3,26.0,4.846153846153846,100.0,5.884615384615385,7.961538461538462,9.346153846153847,4.5,1.3846153846153846,10.833333333333334,19.166666666666668,8.333333333333334,13.793103448275861,7.2187732147672055,6.169866425354087,103.9807887575456,126.82399811407616,Concordia Chicago,64.354,-0.7280000000000004,-0.6942173871529989,1.5049295774647886,0.21047382140662513
Concordia Wisconsin,5,NACC,9.0,3,0,1,0,0,0,0,0,0.2265604114003769,7,2,1,9,32,6,2025,3,9.0,0.0,0.0,0.0,9.0,3.0,2.0,0.0,6.25,28.125,21.875,0.0,3.911080907074898,4.574295329782991,103.64212025621676,200.0,Concordia Wisconsin,21.903,0.1389999999999991,0.07971843711843375,0.492063492063492,0.2027654338493064
Cornell College,4,MWC,16.0,16,7,0,0,0,0,6,5,0.43897369800042213,15,5,2,19,69,0,2025,3,16.0,2.8125,0.0,3.375,10.6875,9.0,2.8125,0.0,7.246376811594203,27.536231884057973,20.28985507246377,0.0,3.848580907074898,4.647991148731975,108.46909779769372,159.28906368708752,Cornell College,44.064,0.0949999999999998,-0.08533321271806274,1.1257201646090536,0.1697236349443466
Cortland,16,SUNYAC,34.0,31,3,1,14,7,2,21,18,1.0693002558587499,36,23,6,36,162,112,2025,3,34.0,4.764705882352941,50.0,5.5588235294117645,9.529411764705882,8.205882352941176,6.088235294117648,0.5294117647058824,14.19753086419753,22.22222222222222,8.024691358024691,5.263157894736842,6.116963260016075,6.305279783403336,100.93177493803962,125.8804499025858,Cortland,80.078,-0.888199999999999,-0.4895391241074451,0.850378787878788,-0.5549365997232885
Covenant,14,CCS,52.0,47,9,3,0,0,1,25,20,1.108726911169361,52,20,7,56,232,868,2025,3,52.0,3.4615384615384617,0.0,4.326923076923077,9.692307692307692,8.134615384615385,3.4615384615384617,0.17307692307692307,8.620689655172415,24.137931034482758,15.517241379310343,1.8867924528301887,4.564927060921052,5.184029477491823,110.3206539617416,150.735177600297,Covenant,137.708,0.27359999999999934,0.18454894600095526,0.9603929024081116,0.10033445881593614
Crown (MN),8,UMAC,19.666666666666668,23,2,0,10,2,0,8,6,0.2334270183795543,20,21,6,17,101,0,2025,3,19.2,2.7457627118644066,20.0,3.661016949152542,7.779661016949152,10.525423728813559,9.610169491525424,0.0,20.792079207920793,16.831683168316832,-3.9603960396039604,0.0,7.300911415549474,8.168068287855455,105.60414723739146,159.1768402402331,,,,,,
Dallas,40,SCAC,71.33333333333333,91,17,2,15,9,5,107,98,0.4612004398656325,81,86,19,61,405,1603,2025,3,71.1,12.364485981308412,60.0,13.5,7.696261682242991,11.481308411214954,10.850467289719626,0.6308411214953271,21.23456790123457,15.06172839506173,-6.17283950617284,5.813953488372093,8.52790333698144,8.644715012233906,101.77998794868314,9.26154564838313,Dallas,117.22,-8.451799999999999,-2.6668540102164666,0.9372211599745061,-6.351081521915459
DePauw,10,NCAC,26.0,20,1,1,5,1,1,15,15,0.49146914630224253,14,9,4,35,108,144,2025,3,26.0,5.1923076923076925,20.0,5.192307692307692,12.115384615384617,6.923076923076923,3.1153846153846154,0.34615384615384615,8.333333333333332,32.407407407407405,24.074074074074073,6.666666666666667,4.2187732147672055,4.210717978863869,97.8406172917589,116.67682234305454,DePauw,51.466,-0.5400000000000009,-0.032565481232963676,1.2426356589147287,-0.40199471839273887
DeSales,12,MAC Freedom,24.0,33,9,0,6,4,5,27,27,0.13166356089750308,28,11,4,13,118,131,2025,3,24.0,10.125,66.66666666666666,10.125,4.875,12.375,4.125,1.875,9.322033898305085,11.016949152542372,1.6949152542372872,15.151515151515152,8.411080907074897,6.8752159281719445,107.89154315605929,52.65608173288281,DeSales,51.225,-0.7660999999999994,-0.5773496747895528,0.9013605442176871,-0.2725876837010126
Delaware Valley,7,MAC Freedom,14.0,32,6,3,3,0,1,33,27,0.10157440126014684,16,13,5,5,93,175,2025,3,14.0,17.357142857142858,0.0,21.214285714285715,3.2142857142857144,20.57142857142857,8.357142857142858,0.6428571428571428,13.978494623655912,5.376344086021505,-8.602150537634408,5.88235294117647,8.98250947850347,9.089364648649779,108.64155560394737,-50.84580933210119,Delaware Valley,6.547999999999999,-1.0647999999999986,-1.2004730460884556,0.5628930817610063,-0.6911828198333296
Denison,12,NCAC,27.0,23,2,0,9,5,0,17,11,0.4431367236512569,21,15,2,26,123,127,2025,3,27.0,3.6666666666666665,55.55555555555556,5.666666666666667,8.666666666666666,7.666666666666667,5.0,0.0,12.195121951219512,21.138211382113823,8.943089430894311,0.0,4.874043870037861,5.537258292745955,101.76093334562157,143.42625398106773,Denison,61.225,-0.09540000000000043,-0.3239661999292265,1.0408704883227176,0.23231214587517202
Dickinson,13,Centennial,28.333333333333332,28,8,0,0,0,1,23,19,0.3143693210942183,32,11,7,23,133,471,2025,3,28.1,6.035294117647059,0.0,7.305882352941176,7.305882352941176,8.894117647058824,3.4941176470588236,0.3176470588235294,8.270676691729323,17.293233082706767,9.022556390977444,3.0303030303030303,5.652257377663133,6.186583513180631,96.7505800734344,102.0578914551944,Dickinson,56.225,-1.6850000000000003,-0.6137446194880101,1.4577262693156734,-0.5421651253442759
Dominican (IL),11,NACC,27.0,36,7,0,0,0,4,19,18,0.25149244627241196,31,10,3,13,123,375,2025,3,27.0,6.0,0.0,6.333333333333334,4.333333333333333,12.0,3.333333333333333,1.3333333333333333,8.130081300813007,10.569105691056912,2.4390243902439046,11.428571428571429,7.318488314482305,6.4979197597365355,98.04433931491742,103.91550460880677,Dominican (IL),65.483,-0.4828000000000009,-0.47035288858381535,1.1955043859649124,0.06650660774367889
