Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,IP_float,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Kevin Wright,d3d-7816175,R/R,LeTourneau,ASC,2,0,13.5,1.1,1.3333333333333333,1,2,2,3,1,0,1,0,0,8,0,2,26,0.0,6.75,20.25,0.0,13.5,6.75,50.0,12.5,37.5,-25.0,0.0,10.489641282876093,10.489641282876093,-18.08024614427035,-0.00024988129567687055,Sr,4,2,,,,,3,2025
Lane Holman,d3d-7558262,R/R,LeTourneau,ASC,3,0,4.15,8.2,8.666666666666666,7,4,4,6,8,0,0,1,1,37,9,6,139,0.0,8.307692307692308,6.230769230769232,0.0,4.153846153846154,7.269230769230769,50.0,21.62162162162162,16.216216216216218,5.4054054054054035,0.0,5.816564359799169,6.702064935173162,132.96051692602057,0.1348103107843828,Sr,6,3,,,,,3,2025
Tanner Farnsworth,9302943,R/R,LeTourneau,ASC,2,0,22.5,2.0,2.0,4,5,5,3,4,0,1,1,1,14,1,1,61,0.0,18.0,13.5,0.0,22.5,18.0,0.0,28.57142857142857,21.428571428571427,7.142857142857142,0.0,7.239641282876092,7.6659934117598665,-163.46707690711725,0.021336255557537133,Fr,0,0,,,,,3,2025
Zac Schneider,d3d-7089666,L/L,LeTourneau,ASC,3,0,4.15,4.1,4.333333333333333,4,6,2,7,6,0,1,0,1,27,2,5,101,0.0,12.461538461538463,14.538461538461538,0.0,12.461538461538463,8.307692307692308,0.0,22.22222222222222,25.925925925925924,-3.7037037037037024,0.0,8.008872052106861,8.402427863384192,132.96051692602057,0.03505434551314941,Sr,5,0,,,,,3,2025
Riley Davis,d3d-8000007,R/L,LeTourneau,ASC,2,1,12.27,3.2,3.6666666666666665,4,5,5,7,0,0,1,0,0,21,4,6,88,0.0,0.0,17.181818181818183,0.0,12.272727272727273,9.81818181818182,50.0,0.0,33.33333333333333,-33.33333333333333,0.0,10.96691401014882,11.897136836804329,1.7892873933187614,0.0037832179425420845,Sr,2,1,,,,,3,2025
Braden Woods,d3d-8880678,R/R,LeTourneau,ASC,1,0,13.5,0.2,0.6666666666666666,1,1,1,2,0,0,0,0,1,6,2,0,24,1.0,0.0,27.0,0.0,13.5,13.5,100.0,0.0,33.33333333333333,-33.33333333333333,0.0,18.739641282876093,21.29775405617874,-18.08024614427035,-0.04206317465978075,So,3,3,-0.016626271186440826,-0.0477999999999998,-3.524,-0.06114999999999952,3,2025
Landon Stocks,d3d-7558281,R/R,LeTourneau,ASC,2,2,25.07,4.2,4.666666666666667,14,14,13,4,2,1,1,0,3,34,3,8,97,0.0,3.8571428571428568,7.7142857142857135,1.9285714285714284,27.0,27.0,0.0,5.88235294117647,11.76470588235294,-5.88235294117647,25.0,11.66821271144752,9.613387789533991,-204.98309413606347,0.007024167994270969,Sr,0,0,-0.14978434836336196,-0.9269999999999994,7.822,-0.7136840348248238,3,2025
Xander Nabors,d3d-7577873,R/R,LeTourneau,ASC,1,0,0.0,1.0,1.0,0,0,0,2,2,0,0,0,1,6,1,0,23,0.0,18.0,18.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,10.239641282876093,11.092345540643642,200.0,0.0006961446080629603,Sr,0,0,,,,,3,2025
Cruz Cox,d3d-8000048,R/R,LeTourneau,ASC,3,0,5.4,3.1,3.3333333333333335,4,2,2,0,4,0,2,0,1,14,3,2,43,1.3777777777777775,10.799999999999999,0.0,0.0,5.3999999999999995,10.799999999999999,0.0,28.57142857142857,0.0,28.57142857142857,0.0,3.739641282876092,4.507075114866886,112.76790154229187,0.13561775689429795,Jr,3,0,0.010656518883415962,0.031999999999999904,7.565,0.025823481116583932,3,2025
Aman Patel,d3d-7558279,R/L,LeTourneau,ASC,2,2,4.0,9.0,9.0,10,10,4,4,6,0,3,0,0,44,5,16,134,1.4333333333333333,6.0,4.0,0.0,10.0,10.0,0.0,13.636363636363635,9.090909090909092,4.545454545454543,0.0,5.239641282876092,5.71336587052473,135.38363077206805,0.3722020258701842,Sr,0,0,-0.06230879295420835,-0.17819999999999972,35.449,-0.13153288717503206,3,2025
Camden Miller,8892688,L/R,LeTourneau,ASC,2,0,4.5,2.0,2.0,4,1,1,2,2,0,1,0,1,11,2,0,45,1.1500000000000001,9.0,9.0,0.0,4.5,18.0,0.0,18.181818181818183,18.181818181818183,0.0,0.0,7.739641282876092,8.592345540643642,127.30658461857655,0.016395500390199068,So,0,0,0.12775573039686133,0.1119999999999999,5.258,-0.03540326475417753,3,2025
Ryan Brewer,d3d-8452296,R/R,LeTourneau,ASC,1,1,12.0,3.0,3.0,4,4,4,4,2,0,0,0,1,16,1,4,70,0.0,6.0,12.0,0.0,12.0,12.0,0.0,12.5,25.0,-12.5,0.0,8.906307949542759,9.190542702131943,6.1508923162041595,0.030617664907409702,So,0,0,-0.21265740412015355,-0.3149999999999996,6.2330000000000005,-0.16712982992239922,3,2025
Weston Riggins,d3d-8902824,R/R,LeTourneau,ASC,1,0,13.5,0.2,0.6666666666666666,0,1,1,3,0,0,0,0,1,6,2,0,22,0.1333333333333333,0.0,40.5,0.0,13.5,0.0,0.0,0.0,50.0,-50.0,0.0,23.239641282876093,25.79775405617874,-18.08024614427035,-0.03152703601814146,Jr,0,0,-0.007935483870967812,-0.0057999999999999,1.951,-0.021999999999999412,3,2025
Clayton Holt,d3d-8452306,R/R,LeTourneau,ASC,2,0,13.5,2.2,2.6666666666666665,4,4,4,4,3,0,1,0,1,16,3,1,59,0.35,10.125,13.5,0.0,13.5,13.5,100.0,18.75,25.0,-6.25,0.0,8.614641282876093,9.573933572864584,-18.08024614427035,0.012841771817166005,Jr,2,2,0.20732259575695655,0.14700000000000035,5.344,-0.13999435148214723,3,2025
Brooks Bishop,d3d-7567614,R/R,LeTourneau,ASC,2,0,27.0,1.0,1.0,3,3,3,3,1,0,0,0,2,11,1,1,45,0.65,9.0,27.0,0.0,27.0,27.0,0.0,9.090909090909092,27.27272727272727,-18.18181818181818,0.0,18.239641282876093,19.09234554064364,-236.1604922885407,-0.04832949208480138,Jr,3,0,-0.1758111765909929,-0.2329999999999998,2.106,-0.12345487845487838,3,2025
Jaden Click,9304631,0,Lebanon Valley,MAC Freedom,1,1,4.5,4.0,4.0,4,3,2,3,1,1,1,0,0,18,4,5,62,0.0,2.25,6.75,2.25,6.75,9.0,0.0,5.555555555555555,16.666666666666664,-11.111111111111109,20.0,10.239641282876093,8.055521605085527,126.250467004186,0.010485238546101602,Jr,0,0,,,,,3,2025
Landon Sexton,9304633,0,Lebanon Valley,MAC Freedom,1,0,0.0,1.0,1.0,0,0,0,1,1,0,0,0,0,4,2,0,20,0.0,9.0,9.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,6.239641282876092,7.94504979841119,200.0,0.0112822064672363,Fr,0,0,,,,,3,2025
Michael Williams,d3d-7129449,R/R,Lebanon Valley,MAC Freedom,2,0,18.0,1.0,1.0,2,3,2,1,1,0,2,0,0,6,2,0,32,0.0,9.0,9.0,0.0,27.0,18.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0,6.239641282876092,7.94504979841119,-94.99813198325602,0.011282204258206875,Sr,0,0,,,,,3,2025
Tony Bennage,d3d-6702495,R/R,Lebanon Valley,MAC Freedom,1,0,36.0,1.0,1.0,3,4,4,2,2,0,2,1,0,8,0,1,58,0.0,18.0,18.0,0.0,36.0,27.0,0.0,25.0,25.0,0.0,0.0,7.239641282876092,7.239641282876092,-389.99626396651206,0.007580796620305062,Sr,0,0,,,,,3,2025
Malachi Duka,8889085,R/R,Lebanon Valley,MAC Freedom,2,0,22.5,2.0,2.0,5,5,5,1,5,0,2,1,1,13,0,1,41,0.1166666666666666,22.5,4.5,0.0,22.5,22.5,0.0,38.46153846153847,7.6923076923076925,30.769230769230774,0.0,3.239641282876092,3.239641282876092,-168.74766497907,0.048303398421654625,Sr,0,0,0.03478709677419255,-0.0012000000000000003,1.258,-0.046399999999999005,3,2025
