Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,Division,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch
Davis & Elkins,10,MEC,16.3,26,9,0,5,4,1,19,17,0.013772358171622602,25,11,3,8,95,0,2025,2,9.386503067484663,80.0,10.490797546012269,4.41717791411043,14.355828220858895,6.07361963190184,0.5521472392638037,11.578947368421053,8.421052631578947,-3.157894736842106,3.8461538461538463,6.976191389334501,7.9291308647834065,99.59981896851066,48.92069927090177,Davis & Elkins,29.0,-0.4505999999999998,-0.5358004273895581,0.4956214689265537,-0.3733611571074491
Delta St.,44,Gulf South,106.9,108,18,3,20,7,9,73,58,1.8315084539880124,84,55,17,114,508,545,2025,2,4.883068288119738,35.0,6.1459307764265665,9.597754911131899,9.092609915809167,4.630495790458372,0.7577174929840972,10.826771653543307,22.440944881889763,11.614173228346456,9.67741935483871,5.565779732318886,5.426023292379687,99.80704171388044,121.56835873155036,Delta St.,243.918,-0.5086000000000009,-1.0426332162344032,1.0928109854604202,0.5772279386824769
Drury,22,GLVC,64.89999999999999,77,22,6,4,3,7,62,61,0.8392851868488063,82,32,19,48,323,1154,2025,2,8.459167950693375,75.0,8.597842835130972,6.656394453004623,10.677966101694917,4.437596302003082,0.9707241910631742,9.907120743034056,14.860681114551083,4.953560371517026,7.865168539325842,6.8639847854984914,6.966763792867062,103.21509631312648,68.61550558957478,Drury,140.0,-2.397200000000001,-1.9888146802257016,0.814057239057239,-0.9559413946372923
East Central,40,GAC,99.69999999999999,108,23,4,19,10,14,100,79,0.3729164531561264,99,76,25,83,514,1075,2025,2,7.131394182547644,52.63157894736842,9.027081243731196,7.492477432296892,9.74924774322969,6.860581745235708,1.2637913741223674,14.785992217898833,16.147859922178988,1.3618677042801544,12.389380530973451,7.783152148913853,7.201491482232786,109.7313411851918,95.81542037851614,East Central,197.0,-4.701299999999999,-3.200196018167465,0.7915841584158415,-2.738907171325968
East Stroudsburg,15,PSAC,30.599999999999998,31,1,0,4,1,0,8,5,0.3333405370624337,38,17,2,29,142,0,2025,2,1.4705882352941178,25.0,2.3529411764705883,8.529411764705882,9.11764705882353,5.0,0.0,11.971830985915492,20.422535211267608,8.450704225352116,0.0,4.550873613962594,5.913682451435006,95.00540678776818,175.1856756781222,East Stroudsburg,76.051,0.7259999999999992,0.1840847569629306,0.6267210144927536,0.9743254179178312
Eastern N.M.,41,Lone Star,113.0,145,32,2,15,7,6,85,72,2.6977403331458363,124,55,18,91,556,1884,2025,2,5.734513274336283,46.666666666666664,6.769911504424778,7.247787610619469,11.548672566371682,4.380530973451327,0.47787610619469023,9.892086330935252,16.366906474820144,6.474820143884893,4.615384615384616,5.6012524675689335,6.173505275082966,115.62376237623762,120.49230667083633,Eastern N.M.,265.0,-1.753400000000002,-2.485070627909037,0.8721866666666667,0.47472116143396814
Eckerd,50,Sunshine State,103.10000000000001,138,27,1,28,17,12,114,96,-0.6166009354769725,112,71,26,93,548,1047,2025,2,8.380213385063044,60.71428571428571,9.951503394762366,8.118331716779824,12.046556741028127,6.197866149369544,1.0475266731328807,12.956204379562045,16.970802919708028,4.0145985401459825,9.67741935483871,7.115076145929146,6.921866143607773,100.11629530829089,65.81313852248091,Eckerd,190.0,-4.539099999999999,-3.7360008534349203,0.904958877600387,-1.2798071709429357
Edward Waters,41,SIAC,83.19999999999999,67,3,1,1,0,8,70,54,1.0192578269501849,82,48,19,76,394,1283,2025,2,5.841346153846155,0.0,7.572115384615386,8.221153846153847,7.247596153846155,5.1923076923076925,0.8653846153846155,12.18274111675127,19.289340101522843,7.106598984771573,8.88888888888889,6.422495660216994,6.359608368465672,98.92228081624128,105.33738216001649,Edward Waters,82.461,-0.4154000000000006,-0.2215509298847213,1.0496825396825398,-0.17418776662215962
Embry-Riddle (FL),39,Sunshine State,83.19999999999999,68,11,0,14,5,10,38,31,0.5147071445383884,85,33,12,82,363,808,2025,2,3.353365384615385,35.714285714285715,4.110576923076923,8.870192307692308,7.355769230769232,3.5697115384615388,1.0817307692307694,9.090909090909092,22.58953168044077,13.49862258953168,10.526315789473683,5.797495660216994,5.488059074479488,99.09815319802094,145.75309005007585,Embry-Riddle (FL),212.918,0.4257999999999974,0.2233438102432586,0.6313244047619048,0.451111345914663
Emmanuel (GA),71,Conference Carolinas,122.9,137,25,5,23,12,13,112,97,-0.12004046528783129,134,69,24,102,614,1497,2025,2,7.1033360455655,52.17391304347826,8.201790073230269,7.469487388120423,10.032546786004882,5.052888527257933,0.9519934906427989,11.237785016286644,16.612377850162865,5.374592833876221,8.843537414965986,6.568907298822488,6.506423189516336,98.09819193917254,83.91902517230594,Emmanuel (GA),246.918,-2.6322000000000023,-2.031796414795263,0.6840929401251117,-1.815926380763199
Emory & Henry,39,SAC,96.8,136,27,6,12,5,9,103,89,0.7020619874640057,94,49,16,53,479,1641,2025,2,8.274793388429753,41.66666666666667,9.576446280991735,4.927685950413223,12.644628099173554,4.555785123966943,0.8367768595041323,10.22964509394572,11.064718162839249,0.8350730688935286,8.737864077669903,6.711652526078405,6.670683869582524,113.89769604734728,83.53326297152499,Emory & Henry,182.918,-4.480199999999999,-3.2345485324963668,0.7609298531810766,-2.653247801515852
Emporia St.,30,Mid-America Intercollegiate,72.2,91,22,3,12,4,12,54,53,0.10008972372776323,66,30,13,72,350,387,2025,2,6.606648199445983,33.33333333333333,6.731301939058172,8.975069252077562,11.34349030470914,3.739612188365651,1.4958448753462603,8.571428571428571,20.57142857142857,11.999999999999998,15.384615384615385,6.536461939782303,5.561375241021243,98.03751673131929,91.96895726391294,Emporia St.,159.0,-0.8304,-1.828385244865511,1.1761282660332542,1.1223398040899883
Erskine,80,Conference Carolinas,104.5,126,20,4,15,3,11,100,81,-0.040273608254133,121,65,38,103,549,1715,2025,2,6.976076555023924,20.0,8.61244019138756,8.870813397129186,10.851674641148326,5.598086124401914,0.9473684210526315,11.839708561020036,18.761384335154826,6.9216757741347905,8.333333333333332,6.937620338170618,6.955413704153638,104.01399289830456,92.48249987376312,Erskine,221.0,-4.461799999999999,-3.455340220284889,0.9580123632905373,-1.202010948623633
Felician,19,CACC,30.2,37,10,2,0,0,0,24,18,0.07174037874711352,33,15,13,27,167,590,2025,2,5.364238410596027,0.0,7.152317880794703,8.04635761589404,11.026490066225167,4.470198675496689,0.0,8.982035928143713,16.16766467065868,7.185628742514968,0.0,5.576930835968394,6.7760981103494,101.31140923661404,115.11921178281241,Felician,104.0,-1.0918000000000005,-0.708693777161606,1.1008333333333333,-0.2831003182206807
