Team,Season,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,BA,SlgPct,OBPct,iPF,PF,1B,SB%,BB%,K%,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch,Division
Felician,2025,3,CACC,12,2,0,0,0,14,1,0,0,0,0,0,0,0,1.1444305029191848,-0.675606974665326,-0.005729137003821799,0.42616091954022994,0.08161706854357427,6,0,0,3,0.08333333333333333,0.08333333333333333,0.21428571428571427,1.021856820610234,101.31140923661404,1,,14.285714285714285,42.857142857142854,0.0,-27.48116972777227,0.0,0.07607142857142857,Felician,-77.269,-0.7305999999999986,-0.9877034965602312,0.8998611111111111,0.1758004250985874,2
Findlay,2025,1,G-MAC,11,4,0,0,3,18,5,1,0,0,10,2,0,0,2.8677614656027086,0.05619772021603603,1.0403794757675213,0.42616091954022994,0.34167940150057907,3,0,3,1,0.45454545454545453,0.5454545454545454,0.6666666666666666,1.0410532272882462,102.46319363729476,4,100.0,22.22222222222222,16.666666666666664,0.09090909090909088,191.4517977236621,0.5555555555555556,0.33744444444444444,Findlay,-5.3290000000000015,0.4193999999999998,0.4091890970140969,0.5816993464052287,0.3118019142218579,2
Fla. Southern,2025,10,Sunshine State,245,43,0,4,18,310,80,12,4,12,78,47,0,3,64.58006542800214,13.65348123546864,4.55582021299342,11.128298850574714,2.1016001103525057,46,4,66,10,0.32653061224489793,0.5551020408163265,0.45483870967741935,1.0606017955718523,103.63610773431114,52,92.15686274509804,13.870967741935484,14.838709677419354,0.2285714285714286,140.93458006100042,0.25161290322580643,0.4946032258064516,Fla. Southern,-145.66600000000003,3.951699999999998,3.647542928943827,0.7524163568773234,1.6044694228348262,2
Flagler,2025,10,Peach Belt,349,25,0,7,16,397,110,24,1,3,74,21,5,7,66.53326858334992,3.8847658996283974,2.0438131238223467,12.204011494252875,1.5804750835111347,65,5,66,10,0.3151862464183381,0.4154727793696275,0.380352644836272,0.9839481850308868,99.03689110185321,82,80.76923076923077,6.297229219143577,16.3727959697733,0.10028653295128942,90.26962316699736,0.18639798488664988,0.35777329974811084,Flagler,-172.854,3.9589999999999983,2.1925801430196583,1.0659628918746002,1.5214328213882382,2
Florida Tech,2025,11,Sunshine State,343,42,2,10,14,411,101,22,2,3,60,17,0,3,65.44968956055301,-9.063819442197628,2.0845266853274866,16.06523563218391,0.3819521409064596,57,3,51,11,0.2944606413994169,0.3965014577259475,0.38686131386861317,1.227789701792283,113.66738210753698,74,85.0,10.218978102189782,13.86861313868613,0.10204081632653061,87.52576910953378,0.145985401459854,0.3298869778869779,Florida Tech,-213.23000000000002,1.8734000000000015,1.9015227665376095,1.0155783582089553,-0.05685959027233767,2
Fort Hays St.,2025,9,Mid-America Intercollegiate,247,28,0,3,11,289,74,18,2,9,54,7,2,9,57.489254216439036,5.924223621874072,1.0026278326477622,11.770977011494255,1.3336712794479357,44,0,50,9,0.29959514170040485,0.4979757085020243,0.39100346020761245,1.012459944358342,100.74759666150052,45,100.0,9.688581314878892,15.22491349480969,0.19838056680161942,111.90059154569458,0.18685121107266436,0.4596920415224913,Fort Hays St.,-141.055,1.7461000000000002,1.7441073991219336,0.7937446443873178,0.4557184672280614,2
Francis Marion,2025,10,Conference Carolinas,218,34,1,4,18,275,69,11,3,4,59,24,3,3,47.22093088019306,-0.9710818854055425,2.36678591084221,8.583362068965519,1.1764984089373025,36,3,51,10,0.3165137614678899,0.44954128440366975,0.44363636363636366,0.9510786814198324,97.06472088518994,51,88.88888888888889,12.363636363636363,13.090909090909092,0.13302752293577985,113.86197595264261,0.21454545454545454,0.3734432234432234,Francis Marion,-162.619,2.8568000000000002,1.9264174678126824,0.9284293552812071,1.1506071692796238,2
Franklin Pierce,2025,3,NE10,63,11,0,1,12,87,14,2,0,0,17,6,0,0,10.020837407887694,-5.03280506578613,2.0992441690921706,0.4519367816091956,0.30536726382404433,16,0,14,3,0.2222222222222222,0.25396825396825395,0.42528735632183906,1.1613705661592657,109.68223396955594,12,100.0,12.643678160919542,18.39080459770115,0.031746031746031744,64.30331204459232,0.19540229885057472,0.1932758620689655,Franklin Pierce,-45.025000000000006,0.2827999999999997,0.4466371331728578,1.270857142857143,-0.22411015475559184,2
Fresno Pacific,2025,11,PacWest,277,39,0,4,8,328,68,11,0,5,52,13,0,3,49.57003298939585,-3.6447571967173946,-2.2610759660239026,-0.8815344827586209,-0.8802687141315187,57,2,44,11,0.24548736462093862,0.33935018050541516,0.35060975609756095,1.0116635681972608,100.69981409183563,52,86.66666666666667,11.890243902439025,17.378048780487802,0.09386281588447654,65.35326280405944,0.15853658536585366,0.3047286585365854,Fresno Pacific,-200.888,1.8948000000000005,0.10123276438683994,1.1576699029126214,1.535503230245834,2
Ga. Southwestern,2025,12,Peach Belt,391,50,1,4,13,459,102,16,3,7,68,8,0,2,73.3216702679066,0.32584703459776854,-2.181910635494785,6.9990057471264375,0.16142600831288573,88,7,59,12,0.2608695652173913,0.37084398976982097,0.3616557734204793,0.9960068394116424,99.76041036469854,76,53.333333333333336,10.893246187363834,19.172113289760347,0.10997442455242967,75.34825161517733,0.14814814814814814,0.33212472647702407,Ga. Southwestern,-233.65300000000002,2.8502,2.2018851716115497,1.0407596371882086,0.5366914393149713,2
