Player,Pos,B/T,player_id,Team,Conference,Yr,R/PA,GP,BB,CS,GS,HBP,IBB,K,RBI,SF,AB,PA,H,2B,3B,HR,R,SB,OPS+,Picked,Sac,BA,SlgPct,OBPct,ISO,wOBA,K%,BB%,SB%,wRC+,wRC,Batting,Baserunning,Adjustment,WAR,Clutch,WPA,REA,WPA/LI,wSB,wGDP,wTEB,EBT,Opportunities,OutsOB,GDPOpps,GDP,Division,Season
Luke Morton,INF,R/R,d3-playerid-23735,Brevard,USA South,Sr,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.97299959856085,0.10886956182940782,-0.20313389988421804,-0.10510020565830366,0.24198758727695888,0.05030846395520062,2.2551405187698492e-17,-0.008999999999999998,-1.242,-0.008181818181818202,0.0,-0.011502469456719521,-0.09359773620158414,0.0,1.0,0.0,1.0,0.0,3,2025
Cale Oehler,INF,L/L,d3-playerid-5976,Brevard,USA South,Sr,0.13636363636363635,5,3.0,0.0,5,1.0,1.0,2.0,4.0,0.0,17.0,22.0,7.0,3.0,0.0,1.0,3.0,0.0,225.0027697834907,0.0,0.0,0.412,0.765,0.524,0.35300000000000004,0.7962,9.090909090909092,13.636363636363635,0.0,174.71421108459285,6.432592077911891,3.0005539990620056,0.49744664415997963,1.2099379363847944,0.268874796071958,-0.12788667519991778,0.1459999999999998,-7.276,0.2495533418665843,-0.059423516701082466,0.35046789706264625,0.20640226379841586,1.0,1.0,0.0,13.0,1.0,3,2025
Lucas Granata,OF,R/R,d3-playerid-23362,Brevard,USA South,Jr,0.1111111111111111,5,1.0,0.0,5,2.0,0.0,3.0,0.0,0.0,15.0,18.0,4.0,0.0,0.0,0.0,2.0,0.0,65.9798116444849,0.0,0.0,0.267,0.267,0.389,0.0,0.24800000000000003,16.666666666666664,5.555555555555555,0.0,77.81100568815636,2.3139563613062726,-0.4940747941163603,-0.27794986692004225,0.48787820015515904,-0.07681462055788615,-0.00939111362321892,-0.07919999999999991,-11.106,-0.05396888637678101,-0.06932743615126288,-0.11502469456719522,-0.09359773620158414,0.0,1.0,0.0,10.0,0.0,3,2025
Gavin Grant,OF,R/L,d3-playerid-13860,Brevard,USA South,So,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,405.15593599514654,0.0,0.0,1.0,1.0,1.0,0.0,1.044,0.0,0.0,0.0,218.51686394347095,0.3664491264018528,0.21044739554503983,0.18499587489151592,0.09757564003103181,0.09906667680596232,-0.005500000000000255,0.0079999999999999,-0.41500000000000004,0.0255,-0.009903919450180411,-0.011502469456719521,0.20640226379841586,1.0,1.0,0.0,1.0,0.0,3,2025
Jackson Mix,INF,L/R,d3-playerid-16477,Brevard,USA South,Sr,0.5,1,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,277.68390020096314,0.0,0.0,0.5,1.0,0.5,0.5,1.0005,0.0,0.0,0.0,210.827536262433,0.706897057346443,0.3948935956328172,0.18339732488497681,0.24198758727695888,0.11661833965385214,0.09914860681114555,0.185,0.522,0.0955882352941176,0.0,-0.023004938913439042,0.20640226379841586,1.0,1.0,0.0,2.0,0.0,3,2025
Tyler Kelson,OF,R/R,d3-playerid-34680,Brevard,USA South,Fr,0.11764705882352941,5,1.0,0.0,4,0.0,0.0,4.0,2.0,0.0,16.0,17.0,4.0,0.0,0.0,0.0,2.0,3.0,37.50652314867477,0.0,0.0,0.25,0.25,0.294,0.0,0.25,23.52941176470588,5.88235294117647,100.0,78.16453799533049,2.195564616853015,-0.45646480771280484,0.6188530330668797,0.48787820015515904,3.6927465203132836e-06,0.06719487429781562,0.0688000000000003,-7.785,-0.005451284554225597,0.550480402749098,-0.13802963348063424,0.20640226379841586,1.0,1.0,0.0,12.0,0.0,3,2025
Zach Gardner,OF,R/R,d3-playerid-36235,Cal Lutheran,SCIAC,So,0.2,2,0.0,0.0,1,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,23.761672901296006,0.27217390457351953,-0.5289299363248219,0.1718948554282573,0.19515128006206361,0.02177897082222704,-0.011686186186187393,-0.03219999999999991,-2.899,-0.0256111111111098,0.0,-0.03450740837015856,0.20640226379841586,1.0,1.0,0.0,3.0,0.0,3,2025
Ryan Farr,INF,R/R,d3-playerid-30662,Cal Lutheran,SCIAC,Sr,0.0,2,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,68.21692668638381,0.0,0.0,0.333,0.333,0.333,0.0,0.34800000000000003,66.66666666666666,0.0,0.0,85.27629434959938,0.4753186882312606,-0.00534361630774427,-0.12650659456520358,0.48397517455391775,0.0743172129795208,-0.02830769230769102,-0.0038000000000000004,-2.227,0.001999999999998699,-0.009903919450180411,-0.023004938913439042,-0.09359773620158414,0.0,1.0,0.0,2.0,0.0,3,2025
Eric Gonzalez,C,R/R,d3-playerid-12393,Cal Lutheran,SCIAC,So,0.2857142857142857,3,0.0,0.0,2,2.0,0.0,1.0,2.0,0.0,5.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,145.65781063966935,0.0,1.0,0.4,0.4,0.571,0.0,0.32885714285714285,14.285714285714285,0.0,0.0,81.89248512378957,1.0690291209157785,-0.05251625634189952,-0.0894237031457912,3.6181047323506594,0.27980433138024147,-0.039191783216783474,0.0678000000000001,-2.5079999999999996,0.1295917832167836,-0.039615677800721644,-0.06901481674031712,0.019206791395247558,1.0,3.0,0.0,6.0,0.0,3,2025
Griffin Zitko,C,R/R,d3-playerid-14450,Cal Lutheran,SCIAC,Sr,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.103624161073814,0.0,0.0,0.0,0.0,0.333,0.0,0.035666666666666666,0.0,0.0,0.0,30.06633237923515,0.19528282451338852,-0.28537948002561636,-0.13800906402192312,1.206034910783553,0.1065191473671539,0.008527526395173356,0.010000000000000092,-1.9080000000000001,-0.002277526395173299,-0.009903919450180411,-0.03450740837015856,-0.09359773620158414,0.0,1.0,0.0,3.0,0.0,3,2025
