Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,iPF,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch,Division
BYU,263,WCC,474.2,470,115,9,124,43,26,246,200,4.529329292490538,377,175,48,485,2081,6236,2022,3.7958667229017293,34.67741935483871,4.668916069169127,9.204976803036693,8.920286798819063,3.3213833825390133,0.4934626739772248,8.409418548774628,23.306102835175395,14.896684286400767,6.451612903225806,4.321026267990784,4.7813276993077025,,100.0,134.64480070622244,BYU,91.694,-2.20440000000001,-2.225195707412929,1.0052454780361757,0.03229850154190661,1
Ball St.,196,MAC,473.8,402,73,13,145,70,55,280,251,4.563939997896475,434,255,60,559,2123,4641,2022,4.767834529337273,48.275862068965516,5.318699873364289,10.61840439003799,7.636133389615872,4.84381595609962,1.044744617982271,12.011304757418747,26.33066415449835,14.319359397079603,11.247443762781186,5.386942710497584,5.302484573284838,,100.0,117.90997982500593,Ball St.,70.812,-3.566000000000008,-3.680362293598096,0.934110806219783,-0.13717196064216397,1
Baylor,237,Big 12,465.0,522,115,2,129,43,71,342,305,-4.2996196701612925,524,240,56,373,2163,6661,2022,5.903225806451613,33.33333333333333,6.619354838709677,7.219354838709677,10.103225806451613,4.64516129032258,1.3741935483870966,11.095700416088766,17.244567730004622,6.148867313915856,11.932773109243698,6.533322699331855,6.314611359886498,,100.0,98.36142119292106,Baylor,0.08800000000000563,-8.589600000000006,-9.503667125705478,0.9936209299379197,0.8589216888952098,1
Bellarmine,215,ASUN,458.1,556,128,15,122,48,77,448,392,-5.629044248738101,546,285,87,343,2268,4112,2022,7.701375245579567,39.34426229508197,8.80157170923379,6.738703339882122,10.923379174852652,5.599214145383104,1.512770137524558,12.566137566137566,15.123456790123457,2.557319223985891,12.359550561797752,7.366772220847793,7.058866965561995,,100.0,67.40184765331969,Bellarmine,-118.88,-18.173,-16.648856442790255,0.9074135191296908,-3.3783964214054443,1
Belmont,207,OVC,513.2,489,82,8,81,35,60,284,266,3.5952373280899588,501,217,49,435,2243,3897,2022,4.664848012470771,43.20987654320987,4.980514419329696,7.6286048324240054,8.575604053000779,3.805533904910366,1.0522213561964147,9.674543022737407,19.393669193045028,9.719126170307621,10.695187165775401,5.622579230144214,5.611604644697771,,100.0,119.68314648909706,Belmont,88.542,-3.622800000000009,-3.7160890859280795,0.9904499203138408,0.05835745740509113,1
Bethune-Cookman,204,SWAC,509.5,534,95,15,120,59,46,345,281,7.9402719278905565,444,242,73,531,2341,5626,2022,4.963689892051031,49.166666666666664,6.094210009813542,9.379784102060842,9.432777232580962,4.2747791952895,0.8125613346418057,10.337462622810763,22.682614267407093,12.34515164459633,9.387755102040817,5.187062925359902,5.340868753474054,,100.0,114.53784713507638,Bethune-Cookman,24.059000000000008,-5.410400000000008,-8.174502130211986,0.9945228850452994,2.734305548155887,1
Binghamton,188,America East,446.6,501,112,11,86,31,53,342,306,2.540584836898381,459,215,69,414,2114,4623,2022,6.166592028660994,36.04651162790697,6.892073443797582,8.343036274070757,10.09628302731751,4.332736229287954,1.0680698611733093,10.170293282876063,19.5837275307474,9.413434247871336,10.3515625,5.83950706002122,5.87921023021036,,100.0,93.82692269857309,Binghamton,-17.574999999999996,-9.374600000000003,-9.542795045857575,0.9241722287658684,-0.600985202244841,1
Boston College,271,ACC,457.5,543,116,9,158,88,67,436,366,-3.18166596778147,472,256,61,438,2229,6521,2022,7.2,55.69620253164557,8.577049180327869,8.61639344262295,10.681967213114753,5.036065573770491,1.318032786885246,11.484970838941228,19.650067294751008,8.16509645580978,12.430426716141001,6.310759681528223,6.033165094351341,,100.0,76.03425797956274,Boston College,-99.055,-12.761800000000003,-11.484241702767664,0.9159454545454545,-2.4486840371533365,1
Bowling Green,159,MAC,404.40000000000003,563,131,12,74,34,75,437,409,-3.448502028411713,489,269,66,311,2069,6592,2022,9.102373887240356,45.94594594594595,9.725519287833826,6.921364985163204,12.52967359050445,5.9866468842729965,1.6691394658753709,13.001449975833737,15.031416143064282,2.029966167230546,13.297872340425531,7.601061444107069,7.115178277083242,,100.0,43.28020373899963,Bowling Green,-139.447,-13.308299999999997,-13.740418322338078,0.7956191265892758,-2.986555119151559,1
Bradley,142,MVC,413.9,440,94,5,69,28,69,355,300,-3.9150026488523144,533,261,71,376,2015,4294,2022,6.523314810340662,40.57971014492754,7.719255858903118,8.175887895626964,9.567528388499637,5.675283884996376,1.5003624063783523,12.952853598014888,18.660049627791565,5.707196029776677,11.461794019933555,6.99970463668621,6.840152984129616,,100.0,87.68506098655719,Bradley,-55.95099999999999,-13.348200000000002,-12.107264603645056,1.0631400761743546,-0.4481834498538717,1
