Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
McDaniel,3,Centennial,102,9,0,2,6,119,23,3,1,2,14,4,0,1,11.510244778343068,-8.67226524215656,-0.8720991719191602,0.5449999999999999,0.27727992368022125,24,0,11,3,2025,3,95.61500927722774,17,100.0,7.563025210084033,20.168067226890756,0.22549019607843138,0.3333333333333333,0.31932773109243695,0.10784313725490194,64.18674279434543,0.11764705882352941,0.311655462184874,McDaniel,-65.407,0.04700000000000061,0.3731015689705995,1.2233766233766235,-0.33468330994724443
McMurry,10,SCAC,353,82,0,7,15,457,129,27,5,11,127,15,1,7,129.26477249539923,33.306561710144464,3.7735063302414718,2.4285,3.577243159735015,53,1,111,10,2025,3,108.01214693815672,86,93.75,17.943107221006567,11.597374179431071,0.3654390934844193,0.5637393767705382,0.49452954048140046,0.19830028328611893,166.13045196386219,0.2778993435448578,0.48233698030634575,McMurry,-105.27699999999999,9.682399999999998,4.39310566144566,0.765358361774744,8.257700135655785
Merchant Marine,2,Skyline,54,4,0,0,4,62,15,1,2,1,10,1,1,0,10.142366472951778,4.106017183026328,-0.42774558016373115,0.449,0.22805936542037064,8,0,8,2,2025,3,98.46847033198432,11,100.0,6.451612903225806,12.903225806451612,0.2777777777777778,0.42592592592592593,0.3709677419354839,0.14814814814814814,100.39486069215,0.16129032258064516,0.3729677419354839,Merchant Marine,-31.174,0.36100000000000054,0.3283199234975557,1.0905405405405406,0.002708577122023492
Messiah,6,MAC Commonwealth,186,30,0,1,8,225,31,4,2,1,23,14,1,1,14.04716928504196,-15.636461519015155,-0.8322454135335547,1.23625,-0.5031042494350779,49,5,21,6,2025,3,96.87296542275077,24,73.68421052631578,13.333333333333334,21.777777777777775,0.16666666666666666,0.22580645161290322,0.30666666666666664,0.05913978494623656,34.13636003971976,0.10222222222222223,0.28020888888888884,Messiah,-129.932,-0.4211999999999997,-0.4555732416500513,1.13087899543379,0.08311960010157332
Methodist,8,USA South,243,30,0,1,7,281,59,11,1,0,46,10,0,11,29.464075802068372,-12.230236132392967,1.2896961695116587,1.97575,0.31706765152564154,50,1,34,8,2025,3,96.24564958058946,47,90.9090909090909,10.676156583629894,17.793594306049823,0.24279835390946503,0.2962962962962963,0.3416370106761566,0.053497942386831254,60.599900622936055,0.16370106761565836,0.3191103202846975,Methodist,-130.45999999999998,1.306600000000001,0.43744506514995685,1.04995183044316,0.80699297678242
Millikin,4,CCIW,134,15,0,4,6,159,42,7,3,1,34,11,0,2,28.64944346670046,0.4389325762430216,1.9411450030069533,0.657,1.0250036859280822,24,0,31,4,2025,3,94.37427955969764,31,100.0,9.433962264150944,15.09433962264151,0.31343283582089554,0.43283582089552236,0.39622641509433965,0.11940298507462682,108.5254558350008,0.2138364779874214,0.38818867924528305,Millikin,-51.288999999999994,0.4003999999999992,0.8052093916734651,0.738609715242881,-0.26310983390047593
Millsaps,7,SAA,226,55,0,5,19,305,74,18,2,6,76,14,0,1,79.89372369556263,11.075748208861647,-2.2157144293886724,1.79225,1.6137749224224645,34,5,66,7,2025,3,104.08982076729971,48,73.68421052631578,18.0327868852459,11.147540983606557,0.3274336283185841,0.504424778761062,0.4852459016393443,0.17699115044247787,148.97071933067636,0.24918032786885247,0.46316393442622944,Millsaps,-86.695,4.764699999999998,2.903585426289031,1.0362467866323908,1.6944505449339888
Misericordia,5,MAC Freedom,134,26,0,1,20,181,25,2,1,1,28,19,0,5,24.363625427957878,-6.206544022591533,1.460721856561986,1.0845,0.9409834542393553,22,3,21,5,2025,3,106.54104861404288,21,86.36363636363636,14.3646408839779,12.154696132596685,0.1865671641791045,0.23880597014925373,0.39226519337016574,0.05223880597014924,59.089726475447875,0.15469613259668508,0.34639226519337013,Misericordia,-86.699,0.6837999999999993,0.5856242027419022,0.8057539682539683,0.26302194352748864
Mitchell,2,Great Northeast,67,2,0,0,0,69,16,2,0,2,4,2,1,0,3.9562027973946927,-4.469121143230071,0.20694519615930768,-0.04550000000000002,0.002177287445935955,20,2,4,2,2025,3,110.67762412264273,12,50.0,2.898550724637681,28.985507246376812,0.23880597014925373,0.3582089552238806,0.2608695652173913,0.11940298507462685,55.57031416207769,0.057971014492753624,0.27553623188405796,Mitchell,-48.937999999999995,-0.5989999999999993,-0.32166080707218403,1.1130952380952381,-0.21647823036097036
Monmouth (IL),2,MWC,72,7,0,0,2,81,20,6,1,0,12,2,0,0,11.735366984054581,-4.463579003427425,0.6253510870561689,0.588,0.43440242039110494,22,2,10,2,2025,3,95.55354165574624,13,50.0,8.641975308641975,27.160493827160494,0.2777777777777778,0.3888888888888889,0.35802469135802467,0.1111111111111111,87.86769202589907,0.14814814814814814,0.3558148148148148,Monmouth (IL),-32.709999999999994,0.47540000000000043,0.2258171047315731,1.117687074829932,0.19952556112357037
Montclair St.,3,NJAC,97,25,0,4,10,136,31,8,2,0,37,15,0,3,33.8076266854533,4.870079153121507,2.020041104606574,0.57325,1.5145852762350929,14,2,34,3,2025,3,105.69732108509504,21,88.23529411764706,18.38235294117647,10.294117647058822,0.31958762886597936,0.44329896907216493,0.4852941176470588,0.12371134020618557,133.72554357940805,0.27205882352941174,0.45091176470588235,Montclair St.,-29.642999999999997,1.9143999999999985,1.2137675095049116,0.9458110516934046,0.8103154154856635
Moravian,2,Landmark,47,17,0,2,0,66,8,1,0,0,5,4,1,0,7.17853279762176,-0.048546679428119965,-0.2948573666547225,0.5045,0.5128891157664864,20,1,4,2,2025,3,97.29229966323555,7,80.0,25.757575757575758,30.303030303030305,0.1702127659574468,0.19148936170212766,0.3787878787878788,0.021276595744680854,43.86121479523091,0.07575757575757576,0.3226969696969697,Moravian,-36.174,-0.38499999999999945,0.02650956094225648,1.717248062015504,-0.2507054756245719
Mount Aloysius,2,AMCC,71,2,0,0,1,74,19,6,0,1,7,3,0,0,7.356645163428462,-8.355182177200351,-1.3304674032791357,0.3195,0.28744078645691357,14,0,7,2,2025,3,100.0840573368434,12,100.0,2.7027027027027026,18.91891891891892,0.2676056338028169,0.39436619718309857,0.2972972972972973,0.1267605633802817,73.83381897434715,0.0945945945945946,0.3141216216216216,Mount Aloysius,-45.937999999999995,-0.1915999999999994,0.025998071962278987,0.908974358974359,-0.23678509593971134
Mount Union,3,OAC,105,21,0,2,5,133,28,5,2,1,28,10,0,2,23.285136620249617,1.555702728337909,-0.3441422861255654,0.6845,0.6423438791798327,31,1,22,3,2025,3,100.56062228603034,20,90.9090909090909,15.789473684210526,23.308270676691727,0.26666666666666666,0.38095238095238093,0.40601503759398494,0.11428571428571427,98.05749611400402,0.21052631578947367,0.38350375939849624,Mount Union,-49.465999999999994,1.2194000000000005,1.0017936716312537,1.0773462783171521,0.13006154014405458
Mt. St. Joseph,3,HCAC,95,12,1,2,7,117,24,5,0,0,16,5,0,2,15.480291806428344,-6.775896404107835,-1.1177759785338897,0.9342499999999999,0.3737605097226514,11,1,12,3,2025,3,98.61070451027156,19,83.33333333333334,10.256410256410255,9.401709401709402,0.25263157894736843,0.30526315789473685,0.37606837606837606,0.05263157894736842,71.57021021879721,0.13675213675213677,0.3445826086956522,Mt. St. Joseph,-57.525,0.5530000000000002,0.6426318250059126,1.1256501182033096,-0.15136016691497473
Mt. St. Mary (NY),3,Skyline,85,8,0,2,1,96,17,3,0,0,6,2,0,2,3.09699942566734,-6.7844979343605045,0.14262715928592645,0.66625,0.3286747528206513,23,0,6,3,2025,3,101.70138383741003,14,100.0,8.333333333333332,23.958333333333336,0.2,0.23529411764705882,0.2708333333333333,0.03529411764705881,27.416869400683417,0.0625,0.25254166666666666,Mt. St. Mary (NY),-67.52499999999999,-0.3369999999999996,-0.3777618521055823,0.6332080200501253,-0.15444871587383519
Muhlenberg,2,Centennial,78,16,0,2,3,99,26,9,0,1,21,4,0,0,23.433011846378115,4.156210809714038,0.920278407846767,0.50475,1.3330307666021979,18,1,19,2,2025,3,110.18701072186008,16,80.0,16.161616161616163,18.181818181818183,0.3333333333333333,0.48717948717948717,0.45454545454545453,0.15384615384615385,136.8802556038566,0.21212121212121213,0.440010101010101,Muhlenberg,-29.937999999999995,0.49959999999999916,0.8233598845598841,0.5097323600973236,0.1567623111441716
Muskingum,3,OAC,94,13,0,1,6,114,33,8,2,2,26,13,0,1,29.091263699114098,11.130444187834334,0.0,0.79575,0.0,12,4,26,0,2025,3,97.17896013071632,21,76.47058823529412,11.403508771929824,10.526315789473683,0.35106382978723405,0.5425531914893617,0.45614035087719296,0.1914893617021276,151.1063769822874,0.22807017543859648,0.4569649122807017,Muskingum,0.0,0.0,0.07661913361835959,1.5219653179190753,-0.07661913361835959
N.C. Wesleyan,7,USA South,224,40,1,8,10,283,58,18,1,4,48,5,0,4,46.695743634912795,2.8326577175739542,-0.05554295623241884,1.2535,1.2481569574272469,67,0,46,7,2025,3,100.08380569424496,35,100.0,14.13427561837456,23.674911660777383,0.25892857142857145,0.4017857142857143,0.38515901060070673,0.14285714285714285,97.96834604789353,0.1696113074204947,0.3724341637010676,N.C. Wesleyan,-110.814,0.8350000000000002,1.4995311529844226,1.137476459510358,-0.7654500271566079
NYU,3,UAA,104,13,0,0,7,124,25,2,0,7,21,1,0,1,19.940130982980982,-2.0557038186264833,-2.02909879715998,0.31925000000000003,0.6176856838473085,27,0,24,3,2025,3,95.62174371273925,16,100.0,10.483870967741936,21.774193548387096,0.2403846153846154,0.46153846153846156,0.3629032258064516,0.22115384615384617,107.23874555444097,0.1693548387096774,0.37041935483870964,NYU,-56.407,0.7132000000000003,0.44651282833532474,0.7173036093418259,0.5477662896164295
New Jersey City,1,NJAC,40,4,0,0,2,46,15,5,2,0,10,2,0,1,12.86793018190544,2.169274205006456,-0.2917184210180682,0.012750000000000001,0.26707784283695063,4,0,9,1,2025,3,117.18781811851652,8,100.0,8.695652173913043,8.695652173913043,0.375,0.6,0.45652173913043476,0.22499999999999998,165.54220159268408,0.21739130434782608,0.47947826086956524,New Jersey City,-16.468999999999998,0.4188000000000001,0.31857064890259673,0.5856321839080461,0.39655398308955253
North Central (IL),3,CCIW,109,8,0,3,7,127,35,5,1,3,18,3,0,2,23.61420229136896,-0.30261135281817897,0.620090917828791,0.558,0.5814573891625627,28,1,17,3,2025,3,100.69689857421535,26,75.0,6.299212598425196,22.04724409448819,0.3211009174311927,0.46788990825688076,0.3937007874015748,0.14678899082568808,116.63466317589103,0.14173228346456693,0.3934645669291339,North Central (IL),-58.465999999999994,0.8790000000000002,1.0792276522948347,1.0523206751054852,-0.24393094018577277
North Park,2,CCIW,60,10,0,3,7,80,11,2,0,2,10,2,0,0,9.24350097540617,-6.629584097926366,-0.005464013752434743,0.3655,0.1049800650170166,19,1,9,2,2025,3,106.552680460912,7,66.66666666666666,12.5,23.75,0.18333333333333332,0.31666666666666665,0.35,0.13333333333333333,67.80541263192394,0.125,0.32891249999999994,North Park,-64.466,0.08800000000000033,0.11882650135606539,1.0899509803921568,-0.03808892546220405
Notre Dame (MD),2,United East,79,2,0,0,0,81,25,5,0,1,18,0,0,1,10.582695228329392,-2.1070301022911586,0.4247554386379442,0.0,0.4560062084202381,12,1,11,2,2025,3,,19,0.0,2.4691358024691357,14.814814814814813,0.31645569620253167,0.4177215189873418,0.3333333333333333,0.10126582278481011,88.80254254218032,0.2222222222222222,0.3427654320987654,Notre Dame (MD),-16.468,0.1064000000000001,0.05598735153735131,0.7436170212765958,0.08709705475735556
Oberlin,3,NCAC,95,14,0,1,4,114,23,5,1,1,14,4,3,0,15.10434984960483,0.262271210157919,-0.6818502683608362,-0.1225,0.3881481058953568,21,2,14,3,2025,3,92.65229087634006,16,66.66666666666666,12.280701754385964,18.421052631578945,0.24210526315789474,0.3473684210526316,0.35964912280701755,0.10526315789473686,77.91588167843493,0.12280701754385964,0.3444561403508772,Oberlin,-65.407,0.3764000000000003,0.1966747897263689,1.0658273381294965,0.15647809586256148
