team_name,Years,iPF,PF,H,R,total_home_games,total_away_games
Austin,2021-2024,1.1081443340929773,106.48866004557864,5.28,4.338709677419355,75.0,62.0
Husson,2021-2024,1.1080345089796977,106.48207053878187,7.3283582089552235,6.022988505747127,67.0,87.0
Nichols,2021-2024,1.1079511095920815,106.47706657552489,8.323076923076924,6.841463414634147,65.0,82.0
Hamilton,2021-2024,1.1072495015397288,106.43497009238372,8.543478260869565,7.030769230769231,46.0,65.0
Whittier,2021-2024,1.106067343218525,106.36404059311151,5.797101449275362,4.78,69.0,50.0
Lasell,2021-2024,1.1055339265712694,106.33203559427615,6.886363636363637,5.683168316831683,44.0,101.0
Pfeiffer,2021-2024,1.1033645770342002,106.20187462205202,8.76923076923077,7.2631578947368425,65.0,76.0
Gustavus Adolphus,2021-2024,1.1014271894313161,106.08563136587897,8.735294117647058,7.258426966292135,68.0,89.0
Anderson (IN),2021-2024,1.0980136982199717,105.8808218931983,8.571428571428571,7.163043478260869,77.0,92.0
Rutgers-Newark,2021-2024,1.0978245974492944,105.86947584695767,7.140625,5.969230769230769,64.0,65.0
WashU,2021-2024,1.097685521062164,105.86113126372985,8.0,6.6891891891891895,82.0,74.0
SUNY Brockport,2021-2024,1.0962715175030064,105.77629105018038,8.351851851851851,7.0,54.0,100.0
St. John Fisher,2021-2024,1.0960028325896962,105.76016995538178,10.492537313432836,8.79816513761468,67.0,109.0
TCNJ,2021-2024,1.0953279963343012,105.71967978005807,7.982456140350878,6.701030927835052,57.0,97.0
Cazenovia,2021-2024,1.095198283851483,105.71189703108898,6.24,5.23943661971831,25.0,71.0
Montclair St.,2021-2024,1.0949553514182506,105.69732108509504,10.095890410958905,8.480519480519481,73.0,77.0
Gordon,2021-2024,1.0935674287513715,105.61404572508228,5.980392156862745,5.035294117647059,51.0,85.0
Crown (MN),2021-2024,1.0934024539565246,105.60414723739146,9.205128205128204,7.752577319587629,39.0,97.0
Bethany Lutheran,2021-2024,1.0926039339639897,105.5562360378394,8.944444444444445,7.54320987654321,54.0,81.0
Bob Jones,2021-2024,1.0922560062676983,105.5353603760619,4.794117647058823,4.045454545454546,34.0,44.0
Lynchburg,2021-2024,1.0908887997351933,105.4533279841116,8.88888888888889,7.5181818181818185,99.0,110.0
Penn St.-Behrend,2021-2024,1.0908771023880497,105.45262614328298,8.42,7.121739130434783,50.0,115.0
Gallaudet,2021-2024,1.0896841666592167,105.381049999553,6.318181818181818,5.354838709677419,44.0,31.0
Anna Maria,2021-2024,1.0889063745316427,105.33438247189856,7.448275862068965,6.320987654320987,58.0,81.0
Ursinus,2021-2024,1.0888409780033768,105.33045868020261,5.644444444444445,4.790697674418604,45.0,86.0
Cairn,2021-2024,1.0875506835807385,105.25304101484431,8.830508474576272,7.511363636363637,59.0,88.0
Defiance,2021-2024,1.087238389732022,105.23430338392133,4.981481481481482,4.239583333333333,54.0,96.0
Benedictine (IL),2021-2024,1.0872255630457164,105.23353378274298,9.070175438596491,7.719512195121951,57.0,82.0
Pomona-Pitzer,2021-2024,1.085969700031327,105.15818200187962,8.7625,7.473684210526316,80.0,57.0
John Jay,2021-2024,1.0857946217749337,105.147677306496,5.657894736842105,4.827160493827161,38.0,81.0
Berry,2021-2024,1.0857932178443352,105.14759307066011,8.651162790697674,7.380952380952381,86.0,84.0
Wis.-La Crosse,2021-2024,1.085651030407372,105.13906182444232,9.523809523809524,8.127450980392156,84.0,102.0
Rutgers-Camden,2021-2024,1.0855141931699022,105.13085159019413,6.698412698412699,5.7176470588235295,63.0,85.0
Roanoke,2021-2024,1.0853859445063758,105.12315667038254,8.322222222222223,7.105263157894737,90.0,76.0
St. Thomas (TX),2021-2024,1.0829649743873024,104.97789846323815,7.078947368421052,6.068965517241379,38.0,58.0
Worcester St.,2021-2024,1.0824699046956177,104.94819428173705,6.065217391304348,5.204301075268817,46.0,93.0
Earlham,2021-2024,1.0822364406182365,104.9341864370942,8.222222222222221,7.057971014492754,90.0,69.0
MSOE,2021-2024,1.080908980943607,104.85453885661641,8.246153846153845,7.094736842105263,65.0,95.0
Rensselaer,2021-2024,1.0807475518619434,104.8448531117166,7.30379746835443,6.285714285714286,79.0,42.0
Wash. & Jeff.,2021-2024,1.0795049019577307,104.77029411746383,8.59375,7.411764705882353,96.0,85.0
Ohio Wesleyan,2021-2024,1.0793405446323217,104.7604326779393,6.354838709677419,5.482352941176471,62.0,85.0
Juniata,2021-2024,1.079311241952262,104.75867451713572,7.030769230769231,6.065789473684211,65.0,76.0
Grove City,2021-2024,1.078193200775151,104.69159204650906,8.263157894736842,7.142857142857143,57.0,105.0
Asbury,2021-2024,1.0769179682911862,104.61507809747117,8.6875,7.526315789473684,32.0,19.0
New England Col.,2021-2024,1.0761724679892337,104.57034807935402,6.525,5.660194174757281,40.0,103.0
JWU (Providence),2021-2024,1.075431629723134,104.52589778338806,8.586206896551724,7.457831325301205,58.0,83.0
Hendrix,2021-2024,1.0748184200700357,104.48910520420213,7.366666666666666,6.405405405405405,90.0,74.0
Hanover,2021-2024,1.0743402268362154,104.46041361017294,8.0,6.961904761904762,60.0,105.0
Northwestern-St. Paul,2021-2024,1.074188021737547,104.45128130425283,7.592105263157895,6.608695652173913,76.0,92.0
Scranton,2021-2024,1.0735718381399977,104.41431028839988,8.976190476190476,7.821917808219178,84.0,73.0
Willamette,2021-2024,1.073286571304568,104.39719427827407,7.975,6.952941176470588,80.0,85.0
Rowan,2021-2024,1.072734804268776,104.36408825612658,9.589285714285714,8.368421052631579,56.0,114.0
St. Joseph's (L.I.),2021-2024,1.07246698777996,104.34801926679759,8.56,7.473684210526316,75.0,57.0
St. Olaf,2021-2024,1.0722278504769545,104.33367102861726,6.906976744186046,6.032967032967033,43.0,91.0
LaGrange,2021-2024,1.0715045821229456,104.29027492737674,9.147368421052631,8.0,95.0,77.0
Keystone,2021-2024,1.0713967161336486,104.28380296801892,10.217391304347826,8.9375,69.0,96.0
Ill. Springfield,2021-2024,1.0698898804402328,104.19339282641398,9.696969696969697,8.504761904761905,99.0,105.0
Redlands,2021-2024,1.068329446375528,104.09976678253167,7.550724637681159,6.640625,69.0,64.0
Millsaps,2021-2024,1.0681636794549956,104.08982076729973,6.223529411764706,5.475,85.0,80.0
North Central (MN),2021-2024,1.0673914546384067,104.0434872783044,5.967741935483871,5.257142857142857,31.0,70.0
Emerson,2021-2024,1.0670640301369443,104.02384180821667,6.085106382978723,5.363636363636363,47.0,66.0
Concordia Chicago,2021-2024,1.0663464792924269,103.98078875754561,8.362068965517242,7.38,58.0,100.0
