team_name,Years,iPF,PF,H,R,total_home_games,total_away_games,PF_singles,PF_doubles,PF_triples,PF_home_runs,PF_walks,PF_stolen_bases,PF_strikeouts,PF_ground_balls,PF_line_drives,PF_fly_balls,PF_infield_flys,PF_FIP
Texas St.,2021-2024,1.204523611010261,112.27141666061569,7.639344262295082,5.414414414414415,122.0,111.0,98.84866830985354,95.72186320712632,103.94670113444077,111.15646867377365,102.70627705142259,103.80447662362977,97.78569149456514,101.21290443006323,93.25065902234518,101.17956906460803,100.08677875910807,90.1949864756352
Utah Tech,2021-2024,1.2040161117866506,112.24096670719904,6.730769230769231,4.773913043478261,104.0,115.0,100.7980210997346,101.16072235129603,100.62896353520408,109.29347781773522,102.39190437085404,99.20293028745678,98.66120143332012,100.37429077628784,102.1472697447286,100.6148072114033,107.29425896739704,90.45322487689239
Western Caro.,2021-2024,1.2024948877430108,112.14969326458063,8.914285714285715,6.336363636363636,105.0,110.0,103.36862085019493,104.292416571376,92.9625152985344,105.33619068567452,102.39806824647555,95.76681518434734,99.67196261382395,102.32564096075063,99.20656576698491,101.59816442882834,100.72850020418215,94.22389431407947
South Dakota St.,2021-2024,1.2019375864967388,112.11625518980432,7.808510638297872,5.554794520547945,47.0,146.0,100.75227019530388,97.46808737234323,89.75588745344673,111.87409789089924,99.55061647909821,93.26936314979092,100.63737775641587,98.77183005211982,102.5255957254998,99.60029802713038,101.36956855191642,93.20957968078362
William & Mary,2021-2024,1.2009146349072308,112.05487809443385,7.495049504950495,5.339622641509434,101.0,106.0,101.91024826747801,104.61851752211506,100.38953948708283,97.11919583866238,101.54517026940235,104.1102616279892,100.51404786654976,99.29997097371485,105.76572045324181,100.10082872725987,102.59977090956687,100.73785847538726
Baylor,2021-2024,1.1987672562362612,111.92603537417568,6.946153846153846,4.963855421686747,130.0,83.0,99.54735680661996,97.67100027057624,97.67100027057624,95.12100125422576,100.12928651534298,96.35299360992879,99.65001761846565,102.06793503769782,93.63682180123136,99.92884394137278,100.45811922161481,103.82247967893612
UConn,2021-2024,1.1986107669937658,111.91664601962594,9.071428571428571,6.484076433121019,84.0,157.0,100.39518249259258,102.61145697895775,115.56069248633038,97.06554158373615,99.5541454335002,104.1187987668368,97.34191829001756,98.33015622011919,100.60020635163073,100.63659216657098,102.58370129324736,101.14529352273158
App State,2021-2024,1.1973052189923163,111.83831313953898,7.725274725274725,5.532258064516129,91.0,124.0,101.5481201141377,107.66304433169573,113.8131038896951,108.97368428206609,100.70771727669478,100.14964114997049,96.08878193871564,102.9805052122472,105.34567505204733,100.40961402886113,99.67198167974888,90.79701389022115
Richmond,2021-2024,1.1934465053553658,111.60679032132197,8.092436974789916,5.827586206896552,119.0,87.0,99.05338420284137,105.25725005553961,95.6812069925473,104.90067871950717,104.72464448394156,105.11302095448036,101.61106283047165,97.88378250748083,97.53147694942224,101.02006217797216,99.70539715764039,94.58929505370699
Virginia,2021-2024,1.1932148056510008,111.59288833906004,9.211267605633802,6.635514018691588,142.0,107.0,102.38806837209368,99.83804913170903,115.48800063364264,101.70816629544692,102.37673333594182,107.50847672253857,98.72653147146136,98.69047324671725,93.89921602827586,103.3588843258898,99.85140581911111,95.37113746064864
Columbia,2021-2024,1.1914148455124078,111.48489073074448,10.431372549019608,7.534090909090909,51.0,88.0,101.08968596702195,107.50027199495452,96.7968788633363,103.22192169038497,100.08179339783707,115.44463583903514,99.72887791443547,102.1594546754717,104.46691806530879,103.14988151210275,88.05654536233051,96.779758174208
Saint Peter's,2021-2024,1.1877622039059612,111.26573223435769,6.277777777777778,4.558333333333334,54.0,120.0,103.36771867411696,104.3686881329463,93.52220258135027,94.83492436594447,103.53145445652842,100.7787000071161,105.51062160303087,95.84328464753861,107.60777441736997,101.53819887786184,100.17116755840468,104.54005717630623
