"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
"32",2024,"Abilene Christian","WAC",1,"15","Dash Albus","Jr","P",20,0,8.39,24.2,37,29,23,7,31,0,118,106,8,1,1,7,6,2,0,13,1,1,2,394,19,21,1,0,0,5,"5-11","L/L",573995,923,8381492,"http://stats.ncaa.org/players/8381492?year_stat_category_id=15081"
"33",2024,"Abilene Christian","WAC",1,"42","Joseph Carbone","Jr","P",1,0,81,0.1,2,3,3,2,1,0,5,3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"6-0","L/L",573995,923,8381516,"http://stats.ncaa.org/players/8381516?year_stat_category_id=15081"
"34",2024,"Abilene Christian","WAC",1,"44","Chandler Freeman","Sr","P",18,0,5.48,23,28,21,14,12,22,0,116,97,7,0,0,5,1,5,0,11,4,0,2,400,19,26,1,0,0,9,"5-11","R/R",573995,923,8381531,"http://stats.ncaa.org/players/8381531?year_stat_category_id=15081"
"35",2024,"Abilene Christian","WAC",1,"17","Iain Campa","Jr","P",15,15,4.14,67.1,65,38,31,27,56,0,302,257,10,1,3,6,1,12,0,0,0,6,0,903,68,71,7,4,0,15,"6-3","R/R",573995,923,8381507,"http://stats.ncaa.org/players/8381507?year_stat_category_id=15081"
"36",2024,"Abilene Christian","WAC",1,"4","Caden Greanead","Jr","P",22,0,2.59,41.2,38,16,12,19,40,0,186,158,6,0,0,4,4,4,0,25,11,1,4,667,38,43,2,1,2,7,"6-3","R/R",573995,923,8381581,"http://stats.ncaa.org/players/8381581?year_stat_category_id=15081"
"37",2024,"Abilene Christian","WAC",1,"3","Cade McGarrh","So","INF",22,4,4.35,31,38,21,15,14,29,0,150,129,6,0,0,5,6,4,1,14,9,2,1,510,35,23,2,6,3,7,"6-3","L/R",573995,923,8381625,"http://stats.ncaa.org/players/8381625?year_stat_category_id=15081"
"38",2024,"Air Force","Mountain West",1,"32","Kyle Moats","Sr","P",24,1,7.8,45,59,43,39,21,40,0,221,187,14,3,0,6,3,5,0,27,14,3,5,673,40,54,3,4,0,5,"6-2","",573924,5486,8276606,"http://stats.ncaa.org/players/8276606?year_stat_category_id=15081"
"39",2024,"Air Force","Mountain West",1,"30","Doyle Gehring","Sr","P",24,0,4.94,58.1,62,36,32,18,57,0,256,226,12,2,1,7,4,8,0,19,9,2,2,818,50,57,2,3,10,12,"6-2","",573924,5486,8268140,"http://stats.ncaa.org/players/8268140?year_stat_category_id=15081"
"40",2024,"Air Force","Mountain West",1,"37","Jimmy Hebenstreit","Sr","P",18,3,7.97,35,47,35,31,11,15,0,169,145,12,1,0,9,0,7,0,16,7,4,2,484,44,43,1,2,0,5,"6-1","",573924,5486,8263938,"http://stats.ncaa.org/players/8263938?year_stat_category_id=15081"
"41",2024,"Air Force","Mountain West",1,"40","Seungmin Shim","Sr","P",17,15,3.22,95,94,42,34,24,87,0,401,360,24,2,0,6,5,6,1,4,1,7,4,0,112,69,8,2,1,22,"6-4","",573924,5486,8274450,"http://stats.ncaa.org/players/8274450?year_stat_category_id=15081"
