Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_id,player_url
36,2021,A&M-Corpus Christi,Southland,1,43,JT Moeller,Fr,P,15,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508948,914,7118118,http://stats.ncaa.org/players/7118118?year_stat_category_id=14840
37,2021,Abilene Christian,Southland,1,43,Nick Norton,So,p,10,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,7127323,http://stats.ncaa.org/players/7127323?year_stat_category_id=14840
38,2021,Abilene Christian,Southland,1,19,Zach Smith,Sr,INF,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,6899678,http://stats.ncaa.org/players/6899678?year_stat_category_id=14840
39,2021,Abilene Christian,Southland,1,8,Colton Eager,Sr,OF,56,56,0.342,0.421,0.604,50,222,76,17,1,134,13,57,28,5,4,1,32,6,2,1,3,3,0,,,508954,914,6899681,http://stats.ncaa.org/players/6899681?year_stat_category_id=14840
40,2021,Abilene Christian,Southland,1,23,Tommy Cruz,Sr,INF,48,44,0.335,0.452,0.421,36,164,55,11,0,69,1,29,34,5,5,1,19,4,2,1,0,2,0,,,508954,914,6899682,http://stats.ncaa.org/players/6899682?year_stat_category_id=14840
41,2021,Abilene Christian,Southland,1,11,Miller Ladusau,So,OF,47,46,0.322,0.383,0.494,29,174,56,6,0,86,8,35,14,4,1,0,43,5,1,1,1,0,0,,,508954,914,6899684,http://stats.ncaa.org/players/6899684?year_stat_category_id=14840
42,2021,Abilene Christian,Southland,1,21,Tyler Morgan,So,P,17,11,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,6899686,http://stats.ncaa.org/players/6899686?year_stat_category_id=14840
43,2021,Abilene Christian,Southland,1,3,Mitchell Dickson,Jr,C,49,48,0.383,0.465,0.495,52,196,75,10,0,97,4,45,21,9,0,2,19,2,0,1,7,0,0,,,508954,914,6899687,http://stats.ncaa.org/players/6899687?year_stat_category_id=14840
44,2021,Abilene Christian,Southland,1,30,Thomas Brannon,So,C,2,1,0.333,0.6,0.333,0,3,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,,,508954,914,6899690,http://stats.ncaa.org/players/6899690?year_stat_category_id=14840
45,2021,Abilene Christian,Southland,1,5,Joseph Craig,Sr,OF,4,1,0.0,0.429,0.0,2,4,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,,,508954,914,6899691,http://stats.ncaa.org/players/6899691?year_stat_category_id=14840
46,2021,Abilene Christian,Southland,1,24,Cameron Cromer,So,1B,23,16,0.189,0.29,0.245,12,53,10,3,0,13,0,12,7,1,1,0,12,0,2,0,2,0,0,,,508954,914,6899692,http://stats.ncaa.org/players/6899692?year_stat_category_id=14840
47,2021,Abilene Christian,Southland,1,6,Alexei Cazarin,Sr,INF,48,34,0.236,0.323,0.336,23,110,26,6,1,37,1,10,14,1,2,5,34,2,0,2,2,0,0,,,508954,914,6899697,http://stats.ncaa.org/players/6899697?year_stat_category_id=14840
48,2021,Abilene Christian,Southland,1,15,Owen Cuffe,So,P,4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,6899699,http://stats.ncaa.org/players/6899699?year_stat_category_id=14840
49,2021,Abilene Christian,Southland,1,14,Austin Glaze,So,P,14,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,6899700,http://stats.ncaa.org/players/6899700?year_stat_category_id=14840
50,2021,Abilene Christian,Southland,1,0,Trevor Jackson,Sr,P,11,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,6899701,http://stats.ncaa.org/players/6899701?year_stat_category_id=14840
51,2021,Abilene Christian,Southland,1,32,Cal Strandt,So,INF,12,5,0.15,0.346,0.15,3,20,3,0,0,3,0,4,3,3,0,1,4,2,0,0,1,0,0,,,508954,914,6899703,http://stats.ncaa.org/players/6899703?year_stat_category_id=14840
52,2021,Abilene Christian,Southland,1,7,Genner Cervantes,Sr,P,15,15,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,6899705,http://stats.ncaa.org/players/6899705?year_stat_category_id=14840
53,2021,Abilene Christian,Southland,1,9,Hunter Gieser,Sr,INF,47,45,0.265,0.397,0.477,36,155,41,12,0,74,7,31,20,14,0,0,44,4,0,0,2,0,0,,,508954,914,6899706,http://stats.ncaa.org/players/6899706?year_stat_category_id=14840
54,2021,Abilene Christian,Southland,1,35,Tanner Riley,Sr,P,22,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,6899709,http://stats.ncaa.org/players/6899709?year_stat_category_id=14840
55,2021,Abilene Christian,Southland,1,17,Austin Ruesch,Sr,P,3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,6899710,http://stats.ncaa.org/players/6899710?year_stat_category_id=14840
56,2021,Abilene Christian,Southland,1,20,Spencer Chirpich,Sr,P,15,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,7119570,http://stats.ncaa.org/players/7119570?year_stat_category_id=14840
57,2021,Abilene Christian,Southland,1,44,Eric Wimpee,Sr,P,22,8,0.231,0.348,0.359,11,39,9,2,0,14,1,8,3,4,0,0,14,1,0,0,0,0,0,,,508954,914,7119571,http://stats.ncaa.org/players/7119571?year_stat_category_id=14840
58,2021,Abilene Christian,Southland,1,29,Carter Sells,So,P,14,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,7119822,http://stats.ncaa.org/players/7119822?year_stat_category_id=14840
59,2021,Abilene Christian,Southland,1,45,Max Huffing,Fr,p,22,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,7119835,http://stats.ncaa.org/players/7119835?year_stat_category_id=14840
60,2021,Abilene Christian,Southland,1,24,Mike Brown,Sr,OF,26,17,0.169,0.294,0.183,15,71,12,1,0,13,0,5,12,1,1,4,14,3,1,0,8,0,0,,,508954,914,7119804,http://stats.ncaa.org/players/7119804?year_stat_category_id=14840
61,2021,Abilene Christian,Southland,1,39,Connor Carlton,So,p,18,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,7120543,http://stats.ncaa.org/players/7120543?year_stat_category_id=14840
62,2021,Abilene Christian,Southland,1,39,Adam Stephenson,So,P,15,13,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,7119830,http://stats.ncaa.org/players/7119830?year_stat_category_id=14840
63,2021,Abilene Christian,Southland,1,10,Bryson Hill,So,1B,30,24,0.258,0.385,0.371,13,89,23,4,0,33,2,14,13,6,1,0,35,2,0,4,2,0,0,,,508954,914,7119805,http://stats.ncaa.org/players/7119805?year_stat_category_id=14840
64,2021,Abilene Christian,Southland,1,2,Brett Hammit,Fr,dh,48,43,0.269,0.361,0.558,33,156,42,12,3,87,9,41,16,7,1,1,55,5,0,0,2,0,0,,,508954,914,7119831,http://stats.ncaa.org/players/7119831?year_stat_category_id=14840
65,2021,Abilene Christian,Southland,1,27,Harrison Caley,Fr,C,24,17,0.235,0.385,0.275,7,51,12,0,1,14,0,6,13,0,1,5,19,0,1,0,0,1,0,,,508954,914,7119832,http://stats.ncaa.org/players/7119832?year_stat_category_id=14840
66,2021,Abilene Christian,Southland,1,1,Bash Randle,Fr,ss,55,54,0.305,0.397,0.417,44,187,57,13,1,78,2,39,26,4,2,2,47,5,1,0,3,0,0,,,508954,914,7119833,http://stats.ncaa.org/players/7119833?year_stat_category_id=14840
67,2021,Abilene Christian,Southland,1,22,Grayson Tatrow,So,INF,54,54,0.325,0.421,0.56,50,209,68,15,2,117,10,39,28,8,2,0,60,6,3,0,4,0,0,,,508954,914,7119834,http://stats.ncaa.org/players/7119834?year_stat_category_id=14840
68,2021,Abilene Christian,Southland,1,26,Jack Junker,So,p,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508954,914,7161534,http://stats.ncaa.org/players/7161534?year_stat_category_id=14840
69,2021,Air Force,Mountain West,1,21,Connor Bright,Jr,P,7,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508902,5486,6898107,http://stats.ncaa.org/players/6898107?year_stat_category_id=14840
70,2021,Air Force,Mountain West,1,2,Trayden Tamiya,So,INF,35,9,0.261,0.32,0.37,11,46,12,3,1,17,0,4,3,1,0,0,10,0,0,0,3,0,0,,,508902,5486,6898108,http://stats.ncaa.org/players/6898108?year_stat_category_id=14840
71,2021,Air Force,Mountain West,1,3,Blake Covin,So,OF,45,43,0.258,0.345,0.331,24,151,39,4,2,50,1,12,17,4,2,6,45,3,4,1,11,0,0,,,508902,5486,6898109,http://stats.ncaa.org/players/6898109?year_stat_category_id=14840
72,2021,Air Force,Mountain West,1,29,Jason Shuger,So,P,14,7,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508902,5486,6898110,http://stats.ncaa.org/players/6898110?year_stat_category_id=14840
73,2021,Air Force,Mountain West,1,10,Matt Thompson,So,UT,9,0,0.0,0.167,0.0,2,5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,,,508902,5486,6898112,http://stats.ncaa.org/players/6898112?year_stat_category_id=14840
74,2021,Air Force,Mountain West,1,33,Mitchell Woelfle,So,P,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508902,5486,6898115,http://stats.ncaa.org/players/6898115?year_stat_category_id=14840
75,2021,Air Force,Mountain West,1,44,Ryan Stohr,So,UT,7,0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,508902,5486,6898117,http://stats.ncaa.org/players/6898117?year_stat_category_id=14840
76,2021,Air Force,Mountain West,1,28,Stevan Fairburn Jr.,Jr,P,15,15,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508902,5486,6898118,http://stats.ncaa.org/players/6898118?year_stat_category_id=14840
77,2021,Air Force,Mountain West,1,31,Zach Argo,Jr,P,18,5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508902,5486,6898119,http://stats.ncaa.org/players/6898119?year_stat_category_id=14840
78,2021,Air Force,Mountain West,1,7,Cole Blatchford,Sr,INF,48,48,0.33,0.385,0.471,42,191,63,12,0,90,5,32,17,4,6,0,43,5,1,0,6,0,0,,,508902,5486,6898121,http://stats.ncaa.org/players/6898121?year_stat_category_id=14840
79,2021,Air Force,Mountain West,1,27,John Byrnes,Sr,P,14,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508902,5486,6898122,http://stats.ncaa.org/players/6898122?year_stat_category_id=14840
80,2021,Air Force,Mountain West,1,17,Luke Chilcutt,Sr,P,7,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508902,5486,6898123,http://stats.ncaa.org/players/6898123?year_stat_category_id=14840
81,2021,Air Force,Mountain West,1,1,Christian Gambale,Sr,UT,36,35,0.298,0.385,0.471,22,121,36,12,0,57,3,24,12,7,3,1,21,5,1,0,3,0,0,,,508902,5486,6898124,http://stats.ncaa.org/players/6898124?year_stat_category_id=14840
82,2021,Air Force,Mountain West,1,14,Ben Hauser,Sr,UT,14,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,508902,5486,6898125,http://stats.ncaa.org/players/6898125?year_stat_category_id=14840
