"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","IBB","RBI2out","Ht","B/T","team_id","conference_id","player_id","player_url"
"49",2024,"Abilene Christian","WAC",1,"6","Benjamin Greer","Sr","INF",44,39,0.338,0.436,0.477,38,151,51,15,0,72,2,25,27,1,2,0,43,3,3,1,16,1,0,"6-0","B/R",573995,923,8261791,"http://stats.ncaa.org/players/8261791?year_stat_category_id=15080"
"50",2024,"Abilene Christian","WAC",1,"7","Garrett Williams","Sr","INF",55,55,0.292,0.388,0.381,35,202,59,12,0,77,2,28,27,8,5,1,24,8,0,2,6,0,0,"5-10","R/R",573995,923,8283241,"http://stats.ncaa.org/players/8283241?year_stat_category_id=15080"
"51",2024,"Abilene Christian","WAC",1,"14","Austin Glaze","Sr","P",15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-1","R/R",573995,923,8284460,"http://stats.ncaa.org/players/8284460?year_stat_category_id=15080"
"52",2024,"Abilene Christian","WAC",1,"99","Maddox Miesse","So","C",58,56,0.269,0.399,0.344,41,186,50,8,0,64,2,35,27,16,4,6,55,4,0,1,1,0,0,"6-0","R/R",573995,923,8278575,"http://stats.ncaa.org/players/8278575?year_stat_category_id=15080"
"53",2024,"Abilene Christian","WAC",1,"34","Eric Martin","Sr","OF",11,4,0.158,0.304,0.368,1,19,3,1,0,7,1,2,3,1,0,0,9,0,0,0,0,0,0,"6-4","L/R",573995,923,8281122,"http://stats.ncaa.org/players/8281122?year_stat_category_id=15080"
"54",2024,"Abilene Christian","WAC",1,"23","Bobby Serfass","Sr","INF",6,3,0.125,0.263,0.125,2,16,2,0,0,2,0,1,3,0,0,0,7,0,0,0,0,0,0,"6-2","R/R",573995,923,8282371,"http://stats.ncaa.org/players/8282371?year_stat_category_id=15080"
"55",2024,"Abilene Christian","WAC",1,"12","Miller Ladusau","Sr","OF",57,57,0.351,0.462,0.573,58,211,74,23,0,121,8,47,34,15,6,0,57,0,1,0,11,1,0,"6-3","L/R",573995,923,8281218,"http://stats.ncaa.org/players/8281218?year_stat_category_id=15080"
"56",2024,"Abilene Christian","WAC",1,"16","Parker Matthews","Fr","P",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-5","B/R",573995,923,8282558,"http://stats.ncaa.org/players/8282558?year_stat_category_id=15080"
"57",2024,"Abilene Christian","WAC",1,"29","Nick Meyer","Sr","P",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-7","L/L",573995,923,8282589,"http://stats.ncaa.org/players/8282589?year_stat_category_id=15080"
"58",2024,"Abilene Christian","WAC",1,"28","Reese Borho","Fr","OF",43,38,0.232,0.355,0.336,21,125,29,3,2,42,2,22,15,10,2,3,42,1,5,1,4,0,0,"6-0","L/L",573995,923,8381500,"http://stats.ncaa.org/players/8381500?year_stat_category_id=15080"
"59",2024,"Abilene Christian","WAC",1,"45","Brett Lanman","Fr","P",16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-4","L/L",573995,923,8381588,"http://stats.ncaa.org/players/8381588?year_stat_category_id=15080"
"60",2024,"Abilene Christian","WAC",1,"25","Beau Leisure","Fr","P",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-4","R/R",573995,923,8381593,"http://stats.ncaa.org/players/8381593?year_stat_category_id=15080"
